subject,trial,tStart_expected,tEnd_expected,phaseStart_expected,tStart_realized,tEnd_realized,phaseStart_realized,roboRT_expected,exitFlag,correct,rt_given,response_given,phaseType,orientation_left,contrast_left,orientation_right,contrast_right,answer,roboResponse_expected,luminance_difference
1,1,0,9,0,6588.55303136281,6600.65738271259,6588.55303136281,0.2,OK,1,NaN,NO RESPONSE,0,160,0.2,20,0.2,NO RESPONSE,,0.02
1,1,0,9,1.8,6588.55303136281,6600.65738271259,6591.42312341673,0.2,OK,0,NaN,NO RESPONSE,1,160,0.2,20,0.2,DownArrow,\DOWN,0.02
1,1,0,9,2.2,6588.55303136281,6600.65738271259,6592.0607469992,0.2,OK,1,NaN,NO RESPONSE,0,160,0.2,20,0.2,NO RESPONSE,,0.02
1,1,0,9,2.8,6588.55303136281,6600.65738271259,6593.01735210398,0.2,OK,0,NaN,NO RESPONSE,1,160,0.2,20,0.2,DownArrow,\DOWN,0.02
1,1,0,9,3.2,6588.55303136281,6600.65738271259,6593.65479550161,0.2,OK,1,NaN,NO RESPONSE,0,160,0.2,20,0.2,NO RESPONSE,,0.02
1,2,9,18,9,6600.66491094155,6612.77693991406,6600.66491094155,0.2,OK,1,NaN,NO RESPONSE,0,0,0.2,100,0.2,NO RESPONSE,,0.02
1,2,9,18,11.8,6600.66491094155,6612.77693991406,6604.97501132808,0.2,OK,0,NaN,NO RESPONSE,1,0,0.2,100,0.2,DownArrow,\DOWN,0.02
1,2,9,18,12.2,6600.66491094155,6612.77693991406,6605.77319898792,0.2,OK,1,NaN,NO RESPONSE,0,0,0.2,100,0.2,NO RESPONSE,,0.02
1,2,9,18,13.2,6600.66491094155,6612.77693991406,6607.21029775354,0.2,OK,0,NaN,NO RESPONSE,1,0,0.2,100,0.2,DownArrow,\DOWN,0.02
1,2,9,18,13.6,6600.66491094155,6612.77693991406,6607.84787838056,0.2,OK,1,NaN,NO RESPONSE,0,0,0.2,100,0.2,NO RESPONSE,,0.02
1,3,18,27,18,6612.78386676662,NaN,6612.78386676662,0.2,OK,NaN,NaN,NO RESPONSE,0,20,0.8,0,0.8,NO RESPONSE,,0.02
1,3,18,27,19.5,6612.78386676662,NaN,6614.85706666687,0.2,OK,NaN,NaN,NO RESPONSE,1,20,0.8,0,0.8,DownArrow,\DOWN,0.02
1,3,18,27,19.9,6612.78386676662,NaN,6615.49474955068,0.2,OK,NaN,NaN,NO RESPONSE,0,20,0.8,0,0.8,NO RESPONSE,,0.02
1,3,18,27,20.9,6612.78386676662,NaN,6617.08917514879,0.2,OK,NaN,NaN,NO RESPONSE,1,20,0.8,0,0.8,DownArrow,\DOWN,0.02
1,3,18,27,21.3,6612.78386676662,NaN,6617.7267671799,0.2,ESCAPE,NaN,1.63991618744149,Escape,0,20,0.8,0,0.8,NO RESPONSE,,0.02
1,4,27,36,27,NaN,NaN,NaN,0.2,,NaN,NaN,,0,80,0.2,0,0.2,NO RESPONSE,,NaN
1,4,27,36,29.1,NaN,NaN,NaN,0.2,,NaN,NaN,,1,80,0.2,0,0.2,DownArrow,\DOWN,NaN
1,4,27,36,29.5,NaN,NaN,NaN,0.2,,NaN,NaN,,0,80,0.2,0,0.2,NO RESPONSE,,NaN
1,4,27,36,30.2,NaN,NaN,NaN,0.2,,NaN,NaN,,1,80,0.2,0,0.2,DownArrow,\DOWN,NaN
1,4,27,36,30.6,NaN,NaN,NaN,0.2,,NaN,NaN,,0,80,0.2,0,0.2,NO RESPONSE,,NaN
1,5,36,45,36,NaN,NaN,NaN,0.2,,NaN,NaN,,0,120,0.8,80,0.2,NO RESPONSE,,NaN
1,5,36,45,37.5,NaN,NaN,NaN,0.2,,NaN,NaN,,1,120,0.8,80,0.2,DownArrow,\DOWN,NaN
1,5,36,45,37.9,NaN,NaN,NaN,0.2,,NaN,NaN,,0,120,0.8,80,0.2,NO RESPONSE,,NaN
1,5,36,45,38.6,NaN,NaN,NaN,0.2,,NaN,NaN,,1,120,0.8,80,0.2,DownArrow,\DOWN,NaN
1,5,36,45,39,NaN,NaN,NaN,0.2,,NaN,NaN,,0,120,0.8,80,0.2,NO RESPONSE,,NaN
1,6,45,54,45,NaN,NaN,NaN,0.2,,NaN,NaN,,0,0,0.8,100,0.8,NO RESPONSE,,NaN
1,6,45,54,45.9,NaN,NaN,NaN,0.2,,NaN,NaN,,1,0,0.8,100,0.8,DownArrow,\DOWN,NaN
1,6,45,54,46.3,NaN,NaN,NaN,0.2,,NaN,NaN,,0,0,0.8,100,0.8,NO RESPONSE,,NaN
1,6,45,54,47.2,NaN,NaN,NaN,0.2,,NaN,NaN,,1,0,0.8,100,0.8,DownArrow,\DOWN,NaN
1,6,45,54,47.6,NaN,NaN,NaN,0.2,,NaN,NaN,,0,0,0.8,100,0.8,NO RESPONSE,,NaN
1,7,54,63,54,NaN,NaN,NaN,0.2,,NaN,NaN,,0,60,0.2,120,0.2,NO RESPONSE,,NaN
1,7,54,63,56.7,NaN,NaN,NaN,0.2,,NaN,NaN,,1,60,0.2,120,0.2,DownArrow,\DOWN,NaN
1,7,54,63,57.1,NaN,NaN,NaN,0.2,,NaN,NaN,,0,60,0.2,120,0.2,NO RESPONSE,,NaN
1,7,54,63,57.8,NaN,NaN,NaN,0.2,,NaN,NaN,,1,60,0.2,120,0.2,DownArrow,\DOWN,NaN
1,7,54,63,58.2,NaN,NaN,NaN,0.2,,NaN,NaN,,0,60,0.2,120,0.2,NO RESPONSE,,NaN
1,8,63,72,63,NaN,NaN,NaN,0.2,,NaN,NaN,,0,140,0.2,120,0.8,NO RESPONSE,,NaN
1,8,63,72,65.7,NaN,NaN,NaN,0.2,,NaN,NaN,,1,140,0.2,120,0.8,DownArrow,\DOWN,NaN
1,8,63,72,66.1,NaN,NaN,NaN,0.2,,NaN,NaN,,0,140,0.2,120,0.8,NO RESPONSE,,NaN
1,8,63,72,67.1,NaN,NaN,NaN,0.2,,NaN,NaN,,1,140,0.2,120,0.8,DownArrow,\DOWN,NaN
1,8,63,72,67.5,NaN,NaN,NaN,0.2,,NaN,NaN,,0,140,0.2,120,0.8,NO RESPONSE,,NaN
1,9,72,81,72,NaN,NaN,NaN,0.2,,NaN,NaN,,0,80,0.8,160,0.2,NO RESPONSE,,NaN
1,9,72,81,73.8,NaN,NaN,NaN,0.2,,NaN,NaN,,1,80,0.8,160,0.2,DownArrow,\DOWN,NaN
1,9,72,81,74.2,NaN,NaN,NaN,0.2,,NaN,NaN,,0,80,0.8,160,0.2,NO RESPONSE,,NaN
1,9,72,81,74.9,NaN,NaN,NaN,0.2,,NaN,NaN,,1,80,0.8,160,0.2,DownArrow,\DOWN,NaN
1,9,72,81,75.3,NaN,NaN,NaN,0.2,,NaN,NaN,,0,80,0.8,160,0.2,NO RESPONSE,,NaN
1,10,81,90,81,NaN,NaN,NaN,0.2,,NaN,NaN,,0,40,0.2,140,0.2,NO RESPONSE,,NaN
1,10,81,90,82.1,NaN,NaN,NaN,0.2,,NaN,NaN,,1,40,0.2,140,0.2,DownArrow,\DOWN,NaN
1,10,81,90,82.5,NaN,NaN,NaN,0.2,,NaN,NaN,,0,40,0.2,140,0.2,NO RESPONSE,,NaN
1,10,81,90,83.4,NaN,NaN,NaN,0.2,,NaN,NaN,,1,40,0.2,140,0.2,DownArrow,\DOWN,NaN
1,10,81,90,83.8,NaN,NaN,NaN,0.2,,NaN,NaN,,0,40,0.2,140,0.2,NO RESPONSE,,NaN
1,11,90,99,90,NaN,NaN,NaN,0.2,,NaN,NaN,,0,20,0.2,60,0.8,NO RESPONSE,,NaN
1,11,90,99,92.8,NaN,NaN,NaN,0.2,,NaN,NaN,,1,20,0.2,60,0.8,DownArrow,\DOWN,NaN
1,11,90,99,93.2,NaN,NaN,NaN,0.2,,NaN,NaN,,0,20,0.2,60,0.8,NO RESPONSE,,NaN
1,11,90,99,93.8,NaN,NaN,NaN,0.2,,NaN,NaN,,1,20,0.2,60,0.8,DownArrow,\DOWN,NaN
1,11,90,99,94.2,NaN,NaN,NaN,0.2,,NaN,NaN,,0,20,0.2,60,0.8,NO RESPONSE,,NaN
