subject,trial,tStart_expected,tEnd_expected,phaseStart_expected,tStart_realized,tEnd_realized,phaseStart_realized,roboRT_expected,exitFlag,correct,rt_given,response_given,phaseType,answer,roboResponse_expected,luminance_difference,orientation_left1,orientation_left2,orientation_right1,orientation_right2,contrast_left1,contrast_right1,contrast_left2,contrast_right2
1,1,0,20,0,61012.7996317995,NaN,61012.7996317995,0.2,OK,1,NaN,NO RESPONSE,0,NO RESPONSE,,0.3,0,90,0,90,1,1,1,1
1,1,0,20,1.3,61012.7996317995,NaN,61014.0503217478,0.2,OK,0,NaN,NO RESPONSE,1,DownArrow,\DOWN,0.3,0,90,0,90,1,1,1,1
1,1,0,20,1.7,61012.7996317995,NaN,61014.450289132,0.2,OK,1,NaN,NO RESPONSE,0,NO RESPONSE,,0.3,0,90,0,90,1,1,1,1
1,1,0,20,2.6,61012.7996317995,NaN,61015.3509289783,0.2,OK,0,NaN,NO RESPONSE,1,DownArrow,\DOWN,0.3,0,90,0,90,1,1,1,1
1,1,0,20,3,61012.7996317995,NaN,61015.7508534071,0.2,OK,1,NaN,NO RESPONSE,0,NO RESPONSE,,0.3,0,90,0,90,1,1,1,1
1,2,20,40,20,NaN,NaN,NaN,0.2,,NaN,NaN,,0,NO RESPONSE,,NaN,0,90,0,90,1,1,1,1
1,2,20,40,21.3,NaN,NaN,NaN,0.2,,NaN,NaN,,1,DownArrow,\DOWN,NaN,0,90,0,90,1,1,1,1
1,2,20,40,21.7,NaN,NaN,NaN,0.2,,NaN,NaN,,0,NO RESPONSE,,NaN,0,90,0,90,1,1,1,1
1,2,20,40,22.3,NaN,NaN,NaN,0.2,,NaN,NaN,,1,DownArrow,\DOWN,NaN,0,90,0,90,1,1,1,1
1,2,20,40,22.7,NaN,NaN,NaN,0.2,,NaN,NaN,,0,NO RESPONSE,,NaN,0,90,0,90,1,1,1,1
1,3,40,60,40,NaN,NaN,NaN,0.2,,NaN,NaN,,0,NO RESPONSE,,NaN,0,90,0,90,1,1,1,1
1,3,40,60,42.7,NaN,NaN,NaN,0.2,,NaN,NaN,,1,DownArrow,\DOWN,NaN,0,90,0,90,1,1,1,1
1,3,40,60,43.1,NaN,NaN,NaN,0.2,,NaN,NaN,,0,NO RESPONSE,,NaN,0,90,0,90,1,1,1,1
1,3,40,60,44.1,NaN,NaN,NaN,0.2,,NaN,NaN,,1,DownArrow,\DOWN,NaN,0,90,0,90,1,1,1,1
1,3,40,60,44.5,NaN,NaN,NaN,0.2,,NaN,NaN,,0,NO RESPONSE,,NaN,0,90,0,90,1,1,1,1
1,4,60,80,60,NaN,NaN,NaN,0.2,,NaN,NaN,,0,NO RESPONSE,,NaN,0,90,0,90,1,1,1,1
1,4,60,80,61.8,NaN,NaN,NaN,0.2,,NaN,NaN,,1,DownArrow,\DOWN,NaN,0,90,0,90,1,1,1,1
1,4,60,80,62.2,NaN,NaN,NaN,0.2,,NaN,NaN,,0,NO RESPONSE,,NaN,0,90,0,90,1,1,1,1
1,4,60,80,62.8,NaN,NaN,NaN,0.2,,NaN,NaN,,1,DownArrow,\DOWN,NaN,0,90,0,90,1,1,1,1
1,4,60,80,63.2,NaN,NaN,NaN,0.2,,NaN,NaN,,0,NO RESPONSE,,NaN,0,90,0,90,1,1,1,1
1,5,80,100,80,NaN,NaN,NaN,0.2,,NaN,NaN,,0,NO RESPONSE,,NaN,0,90,0,90,1,1,1,1
1,5,80,100,81.2,NaN,NaN,NaN,0.2,,NaN,NaN,,1,DownArrow,\DOWN,NaN,0,90,0,90,1,1,1,1
1,5,80,100,81.6,NaN,NaN,NaN,0.2,,NaN,NaN,,0,NO RESPONSE,,NaN,0,90,0,90,1,1,1,1
1,5,80,100,82.4,NaN,NaN,NaN,0.2,,NaN,NaN,,1,DownArrow,\DOWN,NaN,0,90,0,90,1,1,1,1
1,5,80,100,82.8,NaN,NaN,NaN,0.2,,NaN,NaN,,0,NO RESPONSE,,NaN,0,90,0,90,1,1,1,1
1,6,100,120,100,NaN,NaN,NaN,0.2,,NaN,NaN,,0,NO RESPONSE,,NaN,0,90,0,90,1,1,1,1
1,6,100,120,102.9,NaN,NaN,NaN,0.2,,NaN,NaN,,1,DownArrow,\DOWN,NaN,0,90,0,90,1,1,1,1
1,6,100,120,103.3,NaN,NaN,NaN,0.2,,NaN,NaN,,0,NO RESPONSE,,NaN,0,90,0,90,1,1,1,1
1,6,100,120,103.9,NaN,NaN,NaN,0.2,,NaN,NaN,,1,DownArrow,\DOWN,NaN,0,90,0,90,1,1,1,1
1,6,100,120,104.3,NaN,NaN,NaN,0.2,,NaN,NaN,,0,NO RESPONSE,,NaN,0,90,0,90,1,1,1,1
