onset,duration,orientation,contrast,side,trial,subject,trial_start_fromTrigger,tEnd_expected_from0,tStart_realized,tEnd_realized,exitFlag,luminance_difference,correct
4.2,4.5,105,0.2,right ,1,4,474615.629316605,8.7,474615.631288223,474629.330162866,EMPTY,0.3,0
4.5,4.5,120,0.8,left  ,1,4,474615.929316605,9,474615.631288223,474629.330162866,EMPTY,0.3,0
12.2,4.5,135,0.8,right ,2,4,474623.629316605,16.7,474629.472164104,474642.378900964,EMPTY,0.45,0
13.1,4.5,60,0.8,left  ,2,4,474624.529316605,17.6,474629.472164104,474642.378900964,EMPTY,0.45,0
19.9,4.5,60,0.8,right ,3,4,474631.329316605,24.4,474642.442924362,NaN,ESCAPE,0.6,0
21.2,4.5,75,0.2,left  ,3,4,474632.629316605,25.7,474642.442924362,NaN,ESCAPE,0.6,0
28.5,4.5,135,0.2,right ,4,4,474639.929316605,33,NaN,NaN,,NaN,NaN
29.2,4.5,90,0.8,left  ,4,4,474640.629316605,33.7,NaN,NaN,,NaN,NaN
37.7,4.5,165,0.2,right ,5,4,474649.129316605,42.2,NaN,NaN,,NaN,NaN
38.5,4.5,150,0.2,left  ,5,4,474649.929316605,43,NaN,NaN,,NaN,NaN
46.9,4.5,90,0.2,left  ,6,4,474658.329316605,51.4,NaN,NaN,,NaN,NaN
46.9,4.5,120,0.2,right ,6,4,474658.329316605,51.4,NaN,NaN,,NaN,NaN
56.1,4.5,60,0.2,left  ,7,4,474667.529316605,60.6,NaN,NaN,,NaN,NaN
56.1,4.5,120,0.8,right ,7,4,474667.529316605,60.6,NaN,NaN,,NaN,NaN
63.8,4.5,150,0.8,left  ,8,4,474675.229316605,68.3,NaN,NaN,,NaN,NaN
64,4.5,60,0.8,right ,8,4,474675.429316605,68.5,NaN,NaN,,NaN,NaN
72.6,4.5,0,0.2,right ,9,4,474684.029316605,77.1,NaN,NaN,,NaN,NaN
73.1,4.5,90,0.8,left  ,9,4,474684.529316605,77.6,NaN,NaN,,NaN,NaN
80.6,4.5,15,0.2,left  ,10,4,474692.029316605,85.1,NaN,NaN,,NaN,NaN
81.9,4.5,150,0.8,right ,10,4,474693.329316605,86.4,NaN,NaN,,NaN,NaN
89.6,4.5,90,0.2,right ,11,4,474701.029316605,94.1,NaN,NaN,,NaN,NaN
89.9,4.5,135,0.8,left  ,11,4,474701.329316605,94.4,NaN,NaN,,NaN,NaN
98.8,4.5,105,0.8,right ,12,4,474710.229316605,103.3,NaN,NaN,,NaN,NaN
99.2,4.5,30,0.2,left  ,12,4,474710.629316605,103.7,NaN,NaN,,NaN,NaN
107.8,4.5,45,0.8,left  ,13,4,474719.229316605,112.3,NaN,NaN,,NaN,NaN
108.1,4.5,120,0.8,right ,13,4,474719.529316605,112.6,NaN,NaN,,NaN,NaN
115.5,4.5,105,0.8,left  ,14,4,474726.929316605,120,NaN,NaN,,NaN,NaN
116,4.5,0,0.2,right ,14,4,474727.429316605,120.5,NaN,NaN,,NaN,NaN
123.3,4.5,165,0.2,left  ,15,4,474734.729316605,127.8,NaN,NaN,,NaN,NaN
123.6,4.5,105,0.8,right ,15,4,474735.029316605,128.1,NaN,NaN,,NaN,NaN
132,4.5,165,0.2,right ,16,4,474743.429316605,136.5,NaN,NaN,,NaN,NaN
132.2,4.5,120,0.2,left  ,16,4,474743.629316605,136.7,NaN,NaN,,NaN,NaN
141.2,4.5,0,0.2,right ,17,4,474752.629316605,145.7,NaN,NaN,,NaN,NaN
141.4,4.5,150,0.8,left  ,17,4,474752.829316605,145.9,NaN,NaN,,NaN,NaN
148.9,4.5,60,0.8,left  ,18,4,474760.329316605,153.4,NaN,NaN,,NaN,NaN
149.6,4.5,120,0.2,right ,18,4,474761.029316605,154.1,NaN,NaN,,NaN,NaN
157.9,4.5,15,0.2,left  ,19,4,474769.329316605,162.4,NaN,NaN,,NaN,NaN
157.9,4.5,135,0.8,right ,19,4,474769.329316605,162.4,NaN,NaN,,NaN,NaN
166.4,4.5,90,0.8,right ,20,4,474777.829316605,170.9,NaN,NaN,,NaN,NaN
167.4,4.5,45,0.8,left  ,20,4,474778.829316605,171.9,NaN,NaN,,NaN,NaN
174.1,4.5,90,0.2,right ,21,4,474785.529316605,178.6,NaN,NaN,,NaN,NaN
175.6,4.5,0,0.2,left  ,21,4,474787.029316605,180.1,NaN,NaN,,NaN,NaN
181.8,4.5,30,0.2,right ,22,4,474793.229316605,186.3,NaN,NaN,,NaN,NaN
184.4,4.5,15,0.8,left  ,22,4,474795.829316605,188.9,NaN,NaN,,NaN,NaN
191.1,4.5,135,0.2,right ,23,4,474802.529316605,195.6,NaN,NaN,,NaN,NaN
192.6,4.5,105,0.2,left  ,23,4,474804.029316605,197.1,NaN,NaN,,NaN,NaN
199.8,4.5,165,0.8,right ,24,4,474811.229316605,204.3,NaN,NaN,,NaN,NaN
200.5,4.5,165,0.8,left  ,24,4,474811.929316605,205,NaN,NaN,,NaN,NaN
207.8,4.5,45,0.2,right ,25,4,474819.229316605,212.3,NaN,NaN,,NaN,NaN
209.6,4.5,30,0.8,left  ,25,4,474821.029316605,214.1,NaN,NaN,,NaN,NaN
217.1,4.5,45,0.8,right ,26,4,474828.529316605,221.6,NaN,NaN,,NaN,NaN
218.6,4.5,165,0.8,left  ,26,4,474830.029316605,223.1,NaN,NaN,,NaN,NaN
224.7,4.5,75,0.2,right ,27,4,474836.129316605,229.2,NaN,NaN,,NaN,NaN
226.6,4.5,135,0.2,left  ,27,4,474838.029316605,231.1,NaN,NaN,,NaN,NaN
233.1,4.5,150,0.2,right ,28,4,474844.529316605,237.6,NaN,NaN,,NaN,NaN
235.3,4.5,30,0.8,left  ,28,4,474846.729316605,239.8,NaN,NaN,,NaN,NaN
242.1,4.5,15,0.8,right ,29,4,474853.529316605,246.6,NaN,NaN,,NaN,NaN
243.6,4.5,75,0.8,left  ,29,4,474855.029316605,248.1,NaN,NaN,,NaN,NaN
250.3,4.5,90,0.8,right ,30,4,474861.729316605,254.8,NaN,NaN,,NaN,NaN
251.2,4.5,0,0.2,left  ,30,4,474862.629316605,255.7,NaN,NaN,,NaN,NaN
258.6,4.5,15,0.8,right ,31,4,474870.029316605,263.1,NaN,NaN,,NaN,NaN
258.7,4.5,45,0.2,left  ,31,4,474870.129316605,263.2,NaN,NaN,,NaN,NaN
267.2,4.5,165,0.2,left  ,32,4,474878.629316605,271.7,NaN,NaN,,NaN,NaN
267.2,4.5,45,0.2,right ,32,4,474878.629316605,271.7,NaN,NaN,,NaN,NaN
275.2,4.5,0,0.2,left  ,33,4,474886.629316605,279.7,NaN,NaN,,NaN,NaN
276.5,4.5,75,0.8,right ,33,4,474887.929316605,281,NaN,NaN,,NaN,NaN
283.4,4.5,15,0.8,left  ,34,4,474894.829316605,287.9,NaN,NaN,,NaN,NaN
285.6,4.5,30,0.8,right ,34,4,474897.029316605,290.1,NaN,NaN,,NaN,NaN
291.5,4.5,30,0.2,left  ,35,4,474902.929316605,296,NaN,NaN,,NaN,NaN
293.2,4.5,60,0.2,right ,35,4,474904.629316605,297.7,NaN,NaN,,NaN,NaN
299.3,4.5,135,0.2,left  ,36,4,474910.729316605,303.8,NaN,NaN,,NaN,NaN
301.2,4.5,15,0.2,right ,36,4,474912.629316605,305.7,NaN,NaN,,NaN,NaN
307.6,4.5,150,0.2,left  ,37,4,474919.029316605,312.1,NaN,NaN,,NaN,NaN
309.4,4.5,165,0.8,right ,37,4,474920.829316605,313.9,NaN,NaN,,NaN,NaN
316.5,4.5,120,0.2,left  ,38,4,474927.929316605,321,NaN,NaN,,NaN,NaN
318.7,4.5,150,0.2,right ,38,4,474930.129316605,323.2,NaN,NaN,,NaN,NaN
324.4,4.5,120,0.8,left  ,39,4,474935.829316605,328.9,NaN,NaN,,NaN,NaN
327,4.5,105,0.2,right ,39,4,474938.429316605,331.5,NaN,NaN,,NaN,NaN
333.2,4.5,75,0.2,left  ,40,4,474944.629316605,337.7,NaN,NaN,,NaN,NaN
335,4.5,30,0.2,right ,40,4,474946.429316605,339.5,NaN,NaN,,NaN,NaN
341.6,4.5,90,0.2,left  ,41,4,474953.029316605,346.1,NaN,NaN,,NaN,NaN
343.7,4.5,45,0.8,right ,41,4,474955.129316605,348.2,NaN,NaN,,NaN,NaN
350,4.5,45,0.2,left  ,42,4,474961.429316605,354.5,NaN,NaN,,NaN,NaN
352.2,4.5,30,0.8,right ,42,4,474963.629316605,356.7,NaN,NaN,,NaN,NaN
357.8,4.5,135,0.8,left  ,43,4,474969.229316605,362.3,NaN,NaN,,NaN,NaN
361.5,4.5,75,0.2,right ,43,4,474972.929316605,366,NaN,NaN,,NaN,NaN
365.7,4.5,105,0.8,left  ,44,4,474977.129316605,370.2,NaN,NaN,,NaN,NaN
370.9,4.5,60,0.2,right ,44,4,474982.329316605,375.4,NaN,NaN,,NaN,NaN
374.4,4.5,105,0.2,left  ,45,4,474985.829316605,378.9,NaN,NaN,,NaN,NaN
380.1,4.5,150,0.8,right ,45,4,474991.529316605,384.6,NaN,NaN,,NaN,NaN
382.4,4.5,75,0.8,left  ,46,4,474993.829316605,386.9,NaN,NaN,,NaN,NaN
389,4.5,0,0.2,right ,46,4,475000.429316605,393.5,NaN,NaN,,NaN,NaN
391,4.5,60,0.2,left  ,47,4,475002.429316605,395.5,NaN,NaN,,NaN,NaN
398,4.5,75,0.8,right ,47,4,475009.429316605,402.5,NaN,NaN,,NaN,NaN
400.4,4.5,0,0.2,left  ,48,4,475011.829316605,404.9,NaN,NaN,,NaN,NaN
407.3,4.5,15,0.2,right ,48,4,475018.729316605,411.8,NaN,NaN,,NaN,NaN
