onset,duration,subject,trial,tEnd_expected_from0,tStart_realized,tEnd_realized,exitFlag,luminance_difference,correct
0,16,4,1,16,2592.66363355408,2608.56385711261,EMPTY,0.3,0
32,16,4,2,48,2624.5788451516,2640.56493290013,EMPTY,0.35,0
64,16,4,3,80,2656.5648173385,2672.56566846509,EMPTY,0.4,0
96,16,4,4,112,2688.56562246853,2704.56568671167,EMPTY,0.45,0
128,16,4,5,144,2720.56501006793,2736.56495760903,EMPTY,0.5,0
160,16,4,6,176,2752.6655893586,2768.66506210867,EMPTY,0.55,0
192,16,4,7,208,2784.66495605047,2800.6651179888,EMPTY,0.6,0
224,16,4,8,240,2816.6649841806,2832.66570720105,ESCAPE,0.6,0
256,16,4,9,272,NaN,NaN,,NaN,NaN
288,16,4,10,304,NaN,NaN,,NaN,NaN
