onset,duration,orientation,contrast,side,trial,subject,tEnd_expected_from0,tStart_realized,tEnd_realized,exitFlag,luminance_difference,correct
4.2,4.5,105,0.2,right ,1,4,8.7,173522.464229281,173530.965474254,OK,0.3,1
4.5,4.5,120,0.8,left  ,1,4,9,173522.464229281,173530.965474254,OK,0.3,1
12.2,4.5,135,0.8,right ,2,4,16.7,173531.065450427,173539.058446305,OK,0.25,1
13.1,4.5,60,0.8,left  ,2,4,17.6,173531.065450427,173539.058446305,OK,0.25,1
19.9,4.5,60,0.8,right ,3,4,24.4,173539.183223999,173547.059548408,OK,0.2,1
21.2,4.5,75,0.2,left  ,3,4,25.7,173539.183223999,173547.059548408,OK,0.2,1
28.5,4.5,135,0.2,right ,4,4,33,173547.176205155,173556.36097324,OK,0.15,1
29.2,4.5,90,0.8,left  ,4,4,33.7,173547.176205155,173556.36097324,OK,0.15,1
37.7,4.5,165,0.2,right ,5,4,42.2,173556.460973751,173564.762210792,OK,0.1,1
38.5,4.5,150,0.2,left  ,5,4,43,173556.460973751,173564.762210792,OK,0.1,1
46.9,4.5,90,0.2,left  ,6,4,51.4,173564.912087767,173573.963608972,EMPTY,0.05,0
46.9,4.5,120,0.2,right ,6,4,51.4,173564.912087767,173573.963608972,EMPTY,0.05,0
56.1,4.5,60,0.2,left  ,7,4,60.6,173574.071935948,173581.864808516,OK,0.2,1
56.1,4.5,120,0.8,right ,7,4,60.6,173574.071935948,173581.864808516,OK,0.2,1
63.8,4.5,150,0.8,left  ,8,4,68.3,173581.989766488,173590.966137679,OK,0.15,0
64,4.5,60,0.8,right ,8,4,68.5,173581.989766488,173590.966137679,OK,0.15,0
72.6,4.5,0,0.2,right ,9,4,77.1,173591.074468862,173599.759178206,OK,0.3,1
73.1,4.5,90,0.8,left  ,9,4,77.6,173591.074468862,173599.759178206,OK,0.3,1
80.6,4.5,15,0.2,left  ,10,4,85.1,173599.859173609,173607.760360834,EMPTY,0.25,0
81.9,4.5,150,0.8,right ,10,4,86.4,173599.859173609,173607.760360834,EMPTY,0.25,0
89.6,4.5,90,0.2,right ,11,4,94.1,173607.918545044,173617.061782059,OK,0.4,1
89.9,4.5,135,0.8,left  ,11,4,94.4,173607.918545044,173617.061782059,OK,0.4,1
98.8,4.5,105,0.8,right ,12,4,103.3,173617.161798795,173625.963071442,OK,0.35,0
99.2,4.5,30,0.2,left  ,12,4,103.7,173617.161798795,173625.963071442,OK,0.35,0
107.8,4.5,45,0.8,left  ,13,4,112.3,173626.096307505,173633.86411895,OK,0.5,1
108.1,4.5,120,0.8,right ,13,4,112.6,173626.096307505,173633.86411895,OK,0.5,1
115.5,4.5,105,0.8,left  ,14,4,120,173633.972574525,173641.465396584,OK,0.45,1
116,4.5,0,0.2,right ,14,4,120.5,173633.972574525,173641.465396584,OK,0.45,1
123.3,4.5,165,0.2,left  ,15,4,127.8,173641.598600798,173650.066676021,OK,0.4,1
123.6,4.5,105,0.8,right ,15,4,128.1,173641.598600798,173650.066676021,OK,0.4,1
132,4.5,165,0.2,right ,16,4,136.5,173650.199932215,173659.259783792,OK,0.35,1
132.2,4.5,120,0.2,left  ,16,4,136.7,173650.199932215,173659.259783792,OK,0.35,1
141.2,4.5,0,0.2,right ,17,4,145.7,173659.401274509,173667.460819612,OK,0.3,1
141.4,4.5,150,0.8,left  ,17,4,145.9,173659.401274509,173667.460819612,OK,0.3,1
148.9,4.5,60,0.8,left  ,18,4,153.4,173667.560847165,173675.762242942,OK,0.25,1
149.6,4.5,120,0.2,right ,18,4,154.1,173667.560847165,173675.762242942,OK,0.25,1
157.9,4.5,15,0.2,left  ,19,4,162.4,173675.887221346,NaN,ESCAPE,0.2,0
157.9,4.5,135,0.8,right ,19,4,162.4,173675.887221346,NaN,ESCAPE,0.2,0
166.4,4.5,90,0.8,right ,20,4,170.9,NaN,NaN,,NaN,NaN
167.4,4.5,45,0.8,left  ,20,4,171.9,NaN,NaN,,NaN,NaN
174.1,4.5,90,0.2,right ,21,4,178.6,NaN,NaN,,NaN,NaN
175.6,4.5,0,0.2,left  ,21,4,180.1,NaN,NaN,,NaN,NaN
181.8,4.5,30,0.2,right ,22,4,186.3,NaN,NaN,,NaN,NaN
184.4,4.5,15,0.8,left  ,22,4,188.9,NaN,NaN,,NaN,NaN
191.1,4.5,135,0.2,right ,23,4,195.6,NaN,NaN,,NaN,NaN
192.6,4.5,105,0.2,left  ,23,4,197.1,NaN,NaN,,NaN,NaN
199.8,4.5,165,0.8,right ,24,4,204.3,NaN,NaN,,NaN,NaN
200.5,4.5,165,0.8,left  ,24,4,205,NaN,NaN,,NaN,NaN
207.8,4.5,45,0.2,right ,25,4,212.3,NaN,NaN,,NaN,NaN
209.6,4.5,30,0.8,left  ,25,4,214.1,NaN,NaN,,NaN,NaN
217.1,4.5,45,0.8,right ,26,4,221.6,NaN,NaN,,NaN,NaN
218.6,4.5,165,0.8,left  ,26,4,223.1,NaN,NaN,,NaN,NaN
224.7,4.5,75,0.2,right ,27,4,229.2,NaN,NaN,,NaN,NaN
226.6,4.5,135,0.2,left  ,27,4,231.1,NaN,NaN,,NaN,NaN
233.1,4.5,150,0.2,right ,28,4,237.6,NaN,NaN,,NaN,NaN
235.3,4.5,30,0.8,left  ,28,4,239.8,NaN,NaN,,NaN,NaN
242.1,4.5,15,0.8,right ,29,4,246.6,NaN,NaN,,NaN,NaN
243.6,4.5,75,0.8,left  ,29,4,248.1,NaN,NaN,,NaN,NaN
250.3,4.5,90,0.8,right ,30,4,254.8,NaN,NaN,,NaN,NaN
251.2,4.5,0,0.2,left  ,30,4,255.7,NaN,NaN,,NaN,NaN
258.6,4.5,15,0.8,right ,31,4,263.1,NaN,NaN,,NaN,NaN
258.7,4.5,45,0.2,left  ,31,4,263.2,NaN,NaN,,NaN,NaN
267.2,4.5,165,0.2,left  ,32,4,271.7,NaN,NaN,,NaN,NaN
267.2,4.5,45,0.2,right ,32,4,271.7,NaN,NaN,,NaN,NaN
275.2,4.5,0,0.2,left  ,33,4,279.7,NaN,NaN,,NaN,NaN
276.5,4.5,75,0.8,right ,33,4,281,NaN,NaN,,NaN,NaN
283.4,4.5,15,0.8,left  ,34,4,287.9,NaN,NaN,,NaN,NaN
285.6,4.5,30,0.8,right ,34,4,290.1,NaN,NaN,,NaN,NaN
291.5,4.5,30,0.2,left  ,35,4,296,NaN,NaN,,NaN,NaN
293.2,4.5,60,0.2,right ,35,4,297.7,NaN,NaN,,NaN,NaN
299.3,4.5,135,0.2,left  ,36,4,303.8,NaN,NaN,,NaN,NaN
301.2,4.5,15,0.2,right ,36,4,305.7,NaN,NaN,,NaN,NaN
307.6,4.5,150,0.2,left  ,37,4,312.1,NaN,NaN,,NaN,NaN
309.4,4.5,165,0.8,right ,37,4,313.9,NaN,NaN,,NaN,NaN
316.5,4.5,120,0.2,left  ,38,4,321,NaN,NaN,,NaN,NaN
318.7,4.5,150,0.2,right ,38,4,323.2,NaN,NaN,,NaN,NaN
324.4,4.5,120,0.8,left  ,39,4,328.9,NaN,NaN,,NaN,NaN
327,4.5,105,0.2,right ,39,4,331.5,NaN,NaN,,NaN,NaN
333.2,4.5,75,0.2,left  ,40,4,337.7,NaN,NaN,,NaN,NaN
335,4.5,30,0.2,right ,40,4,339.5,NaN,NaN,,NaN,NaN
341.6,4.5,90,0.2,left  ,41,4,346.1,NaN,NaN,,NaN,NaN
343.7,4.5,45,0.8,right ,41,4,348.2,NaN,NaN,,NaN,NaN
350,4.5,45,0.2,left  ,42,4,354.5,NaN,NaN,,NaN,NaN
352.2,4.5,30,0.8,right ,42,4,356.7,NaN,NaN,,NaN,NaN
357.8,4.5,135,0.8,left  ,43,4,362.3,NaN,NaN,,NaN,NaN
361.5,4.5,75,0.2,right ,43,4,366,NaN,NaN,,NaN,NaN
365.7,4.5,105,0.8,left  ,44,4,370.2,NaN,NaN,,NaN,NaN
370.9,4.5,60,0.2,right ,44,4,375.4,NaN,NaN,,NaN,NaN
374.4,4.5,105,0.2,left  ,45,4,378.9,NaN,NaN,,NaN,NaN
380.1,4.5,150,0.8,right ,45,4,384.6,NaN,NaN,,NaN,NaN
382.4,4.5,75,0.8,left  ,46,4,386.9,NaN,NaN,,NaN,NaN
389,4.5,0,0.2,right ,46,4,393.5,NaN,NaN,,NaN,NaN
391,4.5,60,0.2,left  ,47,4,395.5,NaN,NaN,,NaN,NaN
398,4.5,75,0.8,right ,47,4,402.5,NaN,NaN,,NaN,NaN
400.4,4.5,0,0.2,left  ,48,4,404.9,NaN,NaN,,NaN,NaN
407.3,4.5,15,0.2,right ,48,4,411.8,NaN,NaN,,NaN,NaN
