onset,duration,subject,trial,trial_type,tEnd_expected_from0,tStart_realized,tEnd_realized,exitFlag,luminance_difference,correct
0,16,4,1,checkerboard_right,16,176328.152144579,176343.854635698,OK,0.3,0
16,16,4,2,checkerboard_left,32,176343.962890562,176359.848724364,OK,0.45,1
32,16,4,3,checkerboard_right,48,176360.006920293,176375.851114257,OK,0.4,1
48,16,4,4,checkerboard_left,64,176376.009402127,176391.853523679,OK,0.35,1
64,16,4,5,checkerboard_right,80,176391.961897227,176407.855915375,OK,0.3,1
80,16,4,6,checkerboard_left,96,176407.955910177,176423.850018764,OK,0.25,1
96,16,4,7,checkerboard_right,112,176423.958336726,176439.852405352,OK,0.2,1
112,16,4,8,checkerboard_left,128,176439.952448829,176455.85479254,OK,0.15,0
128,16,4,9,checkerboard_right,144,176455.954815285,176471.848884511,OK,0.3,1
144,16,4,10,checkerboard_left,160,176471.957222605,176487.951326294,OK,0.25,1
160,16,4,11,checkerboard_right,176,176488.051320796,176503.953730008,OK,0.2,1
176,16,4,12,checkerboard_left,192,176504.053734125,176519.956100671,OK,0.15,0
192,16,4,13,checkerboard_right,208,176520.056121614,176535.950204962,OK,0.3,1
208,16,4,14,checkerboard_left,224,176536.058554773,176551.952668168,OK,0.25,1
224,16,4,15,checkerboard_right,240,176552.052653355,176567.955019901,OK,0.2,0
240,16,4,16,checkerboard_left,256,176568.055036637,176583.94909745,OK,0.35,1
256,16,4,17,checkerboard_right,272,176584.082309476,176599.851479321,OK,0.3,1
272,16,4,18,checkerboard_left,288,176599.984760453,176615.853980986,OK,0.25,0
288,16,4,19,checkerboard_right,304,176615.962121073,176631.856346541,EMPTY,0.4,1
304,16,4,20,checkerboard_left,320,176631.981202656,176647.850396448,EMPTY,0.35,1
