onset	duration	orientation	contrast	side	trial	subject	response_time
0	5.44003413629252	30	0.2	left	1	4	n/a
0	5.44003413629252	60	0.2	right	1	4	n/a
0	0.399995058221975	n/a	n/a	middle	1	4	n/a
3.60076293509337	0.400032311648829	n/a	n/a	middle	2	4	n/a
7.60050748300273	0.400099595892243	n/a	n/a	middle	3	4	n/a
8.60421838113689	5.33647529300652	45	0.8	right	2	4	n/a
8.60421838113689	5.33647529300652	75	0.8	left	2	4	n/a
11.2004979795602	0.400129626737908	n/a	n/a	middle	4	4	n/a
14.6005154658633	0.400069565075682	n/a	n/a	middle	5	4	n/a
17.0767781861941	5.36393107354525	30	0.2	right	3	4	n/a
17.0767781861941	5.36393107354525	135	0.8	left	3	4	n/a
18.5006127809465	0.399908386985771	n/a	n/a	middle	6	4	n/a
22.3005116645072	0.400001900678035	n/a	n/a	middle	7	4	n/a
25.6465899803443	5.29399155336432	45	0.2	left	4	4	n/a
25.6465899803443	5.29399155336432	0	0.2	right	4	4	n/a
26.6005166062678	0.399968448647996	n/a	n/a	middle	8	4	n/a
30.8005496782134	0.399946020537755	n/a	n/a	middle	9	4	n/a
34.2409810577519	5.20025469185202	105	0.2	left	5	4	n/a
34.2409810577519	5.20025469185202	105	0.2	right	5	4	n/a
34.3005207877723	0.399985934956931	n/a	n/a	middle	10	4	n/a
38.4011461132905	0.40004257534747	n/a	n/a	middle	11	4	n/a
42.5412505749555	5.30019386991626	135	0.2	right	6	4	n/a
42.5412505749555	5.30019386991626	15	0.8	left	6	4	n/a
42.6011309078021	0.40003649314167	n/a	n/a	middle	12	4	n/a
46.4011316680699	0.399553338938858	n/a	n/a	middle	13	4	n/a
50.7006561165908	0.399871893809177	n/a	n/a	middle	14	4	n/a
51.0405864754866	5.30001824657666	120	0.8	right	7	4	n/a
51.0405864754866	5.30001824657666	105	0.2	left	7	4	n/a
54.2005105240969	0.40015053426032	n/a	n/a	middle	15	4	n/a
58.5005557604018	0.399952862993814	n/a	n/a	middle	16	4	n/a
59.6407370097586	5.3005078631395	60	0.2	left	8	4	n/a
59.6407370097586	5.3005078631395	0	0.2	right	8	4	n/a
62.0011495345098	0.400071845913772	n/a	n/a	middle	17	4	n/a
65.6005367535399	0.400001140427776	n/a	n/a	middle	18	4	n/a
68.5413608147064	4.89926253407612	150	0.2	left	9	4	n/a
68.5413608147064	4.89926253407612	135	0.8	right	9	4	n/a
69.1005371336942	0.399989736295538	n/a	n/a	middle	19	4	n/a
73.0004972192983	0.399998859589687	n/a	n/a	middle	20	4	n/a
76.6406085234194	5.30068766797194	15	0.2	left	10	4	n/a
76.6406085234194	5.30068766797194	0	0.2	right	10	4	n/a
76.8004915172351	0.400017106177984	n/a	n/a	middle	21	4	n/a
80.4011662605335	0.3999733904202	n/a	n/a	middle	22	4	n/a
84.5011575173994	0.400025849317899	n/a	n/a	middle	23	4	n/a
85.0412912496249	5.09994716092478	90	0.8	right	11	4	n/a
85.0412912496249	5.09994716092478	135	0.2	left	11	4	n/a
88.1011613187729	0.400003421236761	n/a	n/a	middle	24	4	n/a
92.4011339488789	0.40003155139857	n/a	n/a	middle	25	4	n/a
