onset_expected	duration_expected	orientation	contrast	side	trial	subject	trial_type	run
0	5	0	0.2	left	1	5	grating	4
0	5	120	0.2	right	1	5	grating	4
3.3	0.4	n/a	n/a	middle	1	5	dim	4
8	5	165	0.2	right	2	5	grating	4
8.1	5	60	0.8	left	2	5	grating	4
8.3	0.4	n/a	n/a	middle	2	5	dim	4
12.8	0.4	n/a	n/a	middle	3	5	dim	4
16.1	0.4	n/a	n/a	middle	4	5	dim	4
16.4	5	60	0.2	left	3	5	grating	4
16.5	5	150	0.2	right	3	5	grating	4
19.6	0.4	n/a	n/a	middle	5	5	dim	4
22.5	0.4	n/a	n/a	middle	6	5	dim	4
24	5	165	0.8	left	4	5	grating	4
24.2	5	120	0.2	right	4	5	grating	4
26	0.4	n/a	n/a	middle	7	5	dim	4
29.1	0.4	n/a	n/a	middle	8	5	dim	4
31.6	5	15	0.2	left	5	5	grating	4
32.6	5	0	0.2	right	5	5	grating	4
32.6	0.4	n/a	n/a	middle	9	5	dim	4
35.6	0.4	n/a	n/a	middle	10	5	dim	4
39.3	0.4	n/a	n/a	middle	11	5	dim	4
40.3	5	75	0.8	left	6	5	grating	4
40.7	5	30	0.2	right	6	5	grating	4
41.9	0.4	n/a	n/a	middle	12	5	dim	4
45.1	0.4	n/a	n/a	middle	13	5	dim	4
48.7	5	75	0.8	right	7	5	grating	4
48.9	5	0	0.2	left	7	5	grating	4
48.9	0.4	n/a	n/a	middle	14	5	dim	4
52.6	0.4	n/a	n/a	middle	15	5	dim	4
55	0.4	n/a	n/a	middle	16	5	dim	4
57	5	15	0.8	right	8	5	grating	4
57.4	5	120	0.8	left	8	5	grating	4
57.8	0.4	n/a	n/a	middle	17	5	dim	4
62.2	0.4	n/a	n/a	middle	18	5	dim	4
65	5	165	0.2	left	9	5	grating	4
65.7	5	30	0.8	right	9	5	grating	4
66.4	0.4	n/a	n/a	middle	19	5	dim	4
69.3	0.4	n/a	n/a	middle	20	5	dim	4
72.5	5	135	0.2	left	10	5	grating	4
72.7	0.4	n/a	n/a	middle	21	5	dim	4
74.4	5	120	0.8	right	10	5	grating	4
77	0.4	n/a	n/a	middle	22	5	dim	4
80.9	0.4	n/a	n/a	middle	23	5	dim	4
81	5	30	0.8	left	11	5	grating	4
83.1	5	90	0.8	right	11	5	grating	4
85.9	0.4	n/a	n/a	middle	24	5	dim	4
88.6	5	15	0.2	left	12	5	grating	4
88.6	0.4	n/a	n/a	middle	25	5	dim	4
91.2	5	60	0.8	right	12	5	grating	4
93.9	0.4	n/a	n/a	middle	26	5	dim	4
96.7	0.4	n/a	n/a	middle	27	5	dim	4
97.3	5	30	0.2	left	13	5	grating	4
99.5	5	60	0.8	right	13	5	grating	4
101.3	0.4	n/a	n/a	middle	28	5	dim	4
106	5	0	0.2	left	14	5	grating	4
106.7	0.4	n/a	n/a	middle	29	5	dim	4
108	5	105	0.8	right	14	5	grating	4
110.5	0.4	n/a	n/a	middle	30	5	dim	4
113.6	5	165	0.8	left	15	5	grating	4
114.3	0.4	n/a	n/a	middle	31	5	dim	4
115.7	5	15	0.2	right	15	5	grating	4
118.5	0.4	n/a	n/a	middle	32	5	dim	4
122.2	5	90	0.8	left	16	5	grating	4
123.8	0.4	n/a	n/a	middle	33	5	dim	4
124	5	45	0.2	right	16	5	grating	4
127	0.4	n/a	n/a	middle	34	5	dim	4
130.2	5	150	0.2	left	17	5	grating	4
132.1	5	105	0.2	right	17	5	grating	4
132.2	0.4	n/a	n/a	middle	35	5	dim	4
135.3	0.4	n/a	n/a	middle	36	5	dim	4
137.8	5	30	0.8	left	18	5	grating	4
139.9	5	165	0.2	right	18	5	grating	4
140.1	0.4	n/a	n/a	middle	37	5	dim	4
143.4	0.4	n/a	n/a	middle	38	5	dim	4
146.3	5	105	0.8	left	19	5	grating	4
146.6	0.4	n/a	n/a	middle	39	5	dim	4
147.9	5	60	0.2	right	19	5	grating	4
149.4	0.4	n/a	n/a	middle	40	5	dim	4
153.9	5	120	0.8	left	20	5	grating	4
154.8	0.4	n/a	n/a	middle	41	5	dim	4
156.2	5	135	0.8	right	20	5	grating	4
157.3	0.4	n/a	n/a	middle	42	5	dim	4
162	5	120	0.2	left	21	5	grating	4
162	0.4	n/a	n/a	middle	43	5	dim	4
164.5	5	150	0.8	right	21	5	grating	4
165.3	0.4	n/a	n/a	middle	44	5	dim	4
169.8	0.4	n/a	n/a	middle	45	5	dim	4
170.4	5	150	0.8	left	22	5	grating	4
172.8	5	45	0.2	right	22	5	grating	4
174.1	0.4	n/a	n/a	middle	46	5	dim	4
176.8	0.4	n/a	n/a	middle	47	5	dim	4
179.1	5	135	0.8	left	23	5	grating	4
180.5	0.4	n/a	n/a	middle	48	5	dim	4
181.4	5	135	0.2	right	23	5	grating	4
183.7	0.4	n/a	n/a	middle	49	5	dim	4
186.5	0.4	n/a	n/a	middle	50	5	dim	4
187.8	5	45	0.8	left	24	5	grating	4
189.6	5	150	0.8	right	24	5	grating	4
190.5	0.4	n/a	n/a	middle	51	5	dim	4
193.9	0.4	n/a	n/a	middle	52	5	dim	4
195.7	5	135	0.8	left	25	5	grating	4
196.4	0.4	n/a	n/a	middle	53	5	dim	4
197.1	5	120	0.8	right	25	5	grating	4
199	0.4	n/a	n/a	middle	54	5	dim	4
202.6	0.4	n/a	n/a	middle	55	5	dim	4
204.4	5	150	0.2	left	26	5	grating	4
205.1	5	30	0.2	right	26	5	grating	4
207.2	0.4	n/a	n/a	middle	56	5	dim	4
212.2	0.4	n/a	n/a	middle	57	5	dim	4
212.7	5	150	0.8	left	27	5	grating	4
213.2	5	90	0.2	right	27	5	grating	4
215.8	0.4	n/a	n/a	middle	58	5	dim	4
220.3	0.4	n/a	n/a	middle	59	5	dim	4
221	5	30	0.2	left	28	5	grating	4
221	5	0	0.2	right	28	5	grating	4
224	0.4	n/a	n/a	middle	60	5	dim	4
227	0.4	n/a	n/a	middle	61	5	dim	4
228.8	5	45	0.8	right	29	5	grating	4
229.2	5	45	0.2	left	29	5	grating	4
231.6	0.4	n/a	n/a	middle	62	5	dim	4
235.2	0.4	n/a	n/a	middle	63	5	dim	4
236.7	5	45	0.2	left	30	5	grating	4
237	5	150	0.2	right	30	5	grating	4
240.4	0.4	n/a	n/a	middle	64	5	dim	4
244.7	0.4	n/a	n/a	middle	65	5	dim	4
245	5	135	0.2	left	31	5	grating	4
245.1	5	135	0.8	right	31	5	grating	4
248.2	0.4	n/a	n/a	middle	66	5	dim	4
251.7	0.4	n/a	n/a	middle	67	5	dim	4
253	5	90	0.8	right	32	5	grating	4
253.7	5	60	0.2	left	32	5	grating	4
254.6	0.4	n/a	n/a	middle	68	5	dim	4
258.7	0.4	n/a	n/a	middle	69	5	dim	4
261.2	5	75	0.2	right	33	5	grating	4
262.4	5	15	0.8	left	33	5	grating	4
263.2	0.4	n/a	n/a	middle	70	5	dim	4
267.4	0.4	n/a	n/a	middle	71	5	dim	4
268.8	5	60	0.2	right	34	5	grating	4
270.4	5	105	0.2	left	34	5	grating	4
272.7	0.4	n/a	n/a	middle	72	5	dim	4
276.6	5	15	0.8	right	35	5	grating	4
277.4	0.4	n/a	n/a	middle	73	5	dim	4
278.3	5	90	0.8	left	35	5	grating	4
280.4	0.4	n/a	n/a	middle	74	5	dim	4
284.7	5	135	0.2	right	36	5	grating	4
284.7	0.4	n/a	n/a	middle	75	5	dim	4
285.9	5	120	0.2	left	36	5	grating	4
289.2	0.4	n/a	n/a	middle	76	5	dim	4
292.9	5	105	0.2	right	37	5	grating	4
294.2	0.4	n/a	n/a	middle	77	5	dim	4
294.3	5	90	0.2	left	37	5	grating	4
298.1	0.4	n/a	n/a	middle	78	5	dim	4
300.9	5	0	0.2	right	38	5	grating	4
302.2	5	105	0.8	left	38	5	grating	4
303.1	0.4	n/a	n/a	middle	79	5	dim	4
307.6	0.4	n/a	n/a	middle	80	5	dim	4
309	5	105	0.8	right	39	5	grating	4
309.7	5	105	0.2	left	39	5	grating	4
310.3	0.4	n/a	n/a	middle	81	5	dim	4
315.6	0.4	n/a	n/a	middle	82	5	dim	4
317	5	30	0.8	right	40	5	grating	4
318	0.4	n/a	n/a	middle	83	5	dim	4
318.1	5	75	0.2	left	40	5	grating	4
324.6	5	45	0.8	right	41	5	grating	4
326.4	5	90	0.2	left	41	5	grating	4
333.2	5	15	0.2	right	42	5	grating	4
334.5	5	75	0.2	left	42	5	grating	4
341.1	5	0	0.2	right	43	5	grating	4
343	5	60	0.8	left	43	5	grating	4
349.3	5	75	0.2	right	44	5	grating	4
351.6	5	75	0.8	left	44	5	grating	4
357.5	5	90	0.2	right	45	5	grating	4
360.3	5	15	0.8	left	45	5	grating	4
365.8	5	165	0.8	right	46	5	grating	4
368.3	5	0	0.2	left	46	5	grating	4
374	5	75	0.8	right	47	5	grating	4
376.1	5	165	0.2	left	47	5	grating	4
382.4	5	165	0.8	right	48	5	grating	4
383.7	5	45	0.8	left	48	5	grating	4
