onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	150	0.8	left	1	5
8.4	5	165	0.8	left	2	5
16.3	5	30	0.2	left	3	5
24.2	5	75	0.8	left	4	5
32.6	5	90	0.8	left	5	5
40.8	5	165	0.2	left	6	5
48.5	5	45	0.2	left	7	5
57.1	5	30	0.8	left	8	5
65.2	5	90	0.2	left	9	5
73.1	5	0	0.2	left	10	5
80.9	5	45	0.8	left	11	5
89.6	5	60	0.2	left	12	5
98.1	5	75	0.8	left	13	5
105.8	5	165	0.8	left	14	5
113.3	5	105	0.8	left	15	5
121.9	5	135	0.8	left	16	5
129.9	5	150	0.2	left	17	5
137.9	5	60	0.8	left	18	5
146.5	5	120	0.2	left	19	5
155.2	5	105	0.8	left	20	5
163.7	5	75	0.2	left	21	5
171.7	5	90	0.8	left	22	5
179.4	5	105	0.2	left	23	5
187.3	5	120	0.8	left	24	5
195.5	5	120	0.2	left	25	5
203.4	5	15	0.2	left	26	5
211.4	5	45	0.2	left	27	5
219.1	5	30	0.2	left	28	5
227.8	5	15	0.8	left	29	5
235.3	5	60	0.2	left	30	5
242.9	5	135	0.2	left	31	5
250.4	5	0	0.2	left	32	5
258.8	5	135	0.2	left	33	5
267.1	5	45	0.8	left	34	5
274.6	5	90	0.2	left	35	5
283.2	5	105	0.2	left	36	5
291.9	5	135	0.8	left	37	5
300.3	5	60	0.8	left	38	5
308.8	5	75	0.2	left	39	5
317.2	5	165	0.2	left	40	5
325	5	150	0.2	left	41	5
332.6	5	0	0.2	left	42	5
340.1	5	120	0.8	left	43	5
348.7	5	15	0.8	left	44	5
356.7	5	15	0.2	left	45	5
364.8	5	150	0.8	left	46	5
373	5	0	0.2	left	47	5
380.7	5	30	0.8	left	48	5
