onset_expected	duration_expected	orientation	contrast	side	trial	subject
0	5	60	0.8	right	1	5
8.1	5	45	0.8	right	2	5
16.6	5	15	0.8	right	3	5
24.9	5	165	0.2	right	4	5
33.2	5	150	0.2	right	5	5
41.7	5	30	0.8	right	6	5
49.8	5	75	0.2	right	7	5
58	5	0	0.2	right	8	5
66.3	5	135	0.8	right	9	5
73.8	5	120	0.8	right	10	5
82.2	5	60	0.2	right	11	5
90.1	5	75	0.8	right	12	5
98.3	5	165	0.8	right	13	5
106.6	5	90	0.8	right	14	5
114.4	5	0	0.2	right	15	5
122	5	150	0.2	right	16	5
129.9	5	120	0.8	right	17	5
138	5	135	0.2	right	18	5
146.6	5	75	0.8	right	19	5
154.3	5	135	0.8	right	20	5
162.5	5	45	0.2	right	21	5
170.6	5	45	0.2	right	22	5
178.8	5	60	0.8	right	23	5
186.7	5	15	0.2	right	24	5
194.2	5	90	0.2	right	25	5
202.9	5	15	0.2	right	26	5
211.5	5	105	0.8	right	27	5
219.7	5	0	0.2	right	28	5
227.7	5	165	0.2	right	29	5
235.6	5	30	0.2	right	30	5
243.9	5	105	0.2	right	31	5
252.3	5	75	0.2	right	32	5
260.6	5	90	0.8	right	33	5
269.1	5	150	0.8	right	34	5
277.3	5	120	0.2	right	35	5
285.6	5	0	0.2	right	36	5
293.6	5	90	0.2	right	37	5
302	5	105	0.8	right	38	5
309.5	5	30	0.8	right	39	5
317.1	5	105	0.2	right	40	5
324.9	5	15	0.8	right	41	5
333	5	30	0.2	right	42	5
340.8	5	165	0.8	right	43	5
348.7	5	60	0.2	right	44	5
356.7	5	135	0.2	right	45	5
364.3	5	150	0.8	right	46	5
371.8	5	45	0.8	right	47	5
379.9	5	120	0.2	right	48	5
