onset	duration	orientation	contrast	side	trial	subject
0	16	0	0.2	right	1	5
16	16	90	0.8	right	2	5
32	16	0	0.2	right	3	5
48	16	90	0.8	right	4	5
64	16	0	0.2	right	5	5
80	16	90	0.8	right	6	5
96	16	0	0.2	right	7	5
112	16	90	0.8	right	8	5
128	16	0	0.2	right	9	5
144	16	90	0.8	right	10	5
160	16	0	0.2	right	11	5
176	16	90	0.8	right	12	5
192	16	0	0.2	right	13	5
208	16	90	0.8	right	14	5
224	16	0	0.2	right	15	5
240	16	90	0.8	right	16	5
256	16	0	0.2	right	17	5
272	16	90	0.8	right	18	5
288	16	0	0.2	right	19	5
304	16	90	0.8	right	20	5
