onset_expected	duration_expected	orientation	contrast	side	trial	subject	trial_type	run
0	16	0	1	left	1	5	grating	3
2.7	0.4	n/a	n/a	middle	1	5	dim	3
5.2	0.4	n/a	n/a	middle	2	5	dim	3
8	0.4	n/a	n/a	middle	3	5	dim	3
12.7	0.4	n/a	n/a	middle	4	5	dim	3
16	16	0	1	right	1	5	grating	3
17.7	0.4	n/a	n/a	middle	5	5	dim	3
22.2	0.4	n/a	n/a	middle	6	5	dim	3
25.8	0.4	n/a	n/a	middle	7	5	dim	3
28.6	0.4	n/a	n/a	middle	8	5	dim	3
32	16	0	1	left	2	5	grating	3
33.4	0.4	n/a	n/a	middle	9	5	dim	3
38.2	0.4	n/a	n/a	middle	10	5	dim	3
41.8	0.4	n/a	n/a	middle	11	5	dim	3
45.6	0.4	n/a	n/a	middle	12	5	dim	3
48	16	0	1	right	2	5	grating	3
51	0.4	n/a	n/a	middle	13	5	dim	3
55.1	0.4	n/a	n/a	middle	14	5	dim	3
57.9	0.4	n/a	n/a	middle	15	5	dim	3
62.2	0.4	n/a	n/a	middle	16	5	dim	3
64	16	0	1	left	3	5	grating	3
65	0.4	n/a	n/a	middle	17	5	dim	3
69.8	0.4	n/a	n/a	middle	18	5	dim	3
73.6	0.4	n/a	n/a	middle	19	5	dim	3
77.9	0.4	n/a	n/a	middle	20	5	dim	3
80	16	0	1	right	3	5	grating	3
81.5	0.4	n/a	n/a	middle	21	5	dim	3
85	0.4	n/a	n/a	middle	22	5	dim	3
87.7	0.4	n/a	n/a	middle	23	5	dim	3
92.2	0.4	n/a	n/a	middle	24	5	dim	3
96	16	0	1	left	4	5	grating	3
97.1	0.4	n/a	n/a	middle	25	5	dim	3
101.1	0.4	n/a	n/a	middle	26	5	dim	3
104.1	0.4	n/a	n/a	middle	27	5	dim	3
106.8	0.4	n/a	n/a	middle	28	5	dim	3
112	0.4	n/a	n/a	middle	29	5	dim	3
112	16	0	1	right	4	5	grating	3
115.6	0.4	n/a	n/a	middle	30	5	dim	3
120.5	0.4	n/a	n/a	middle	31	5	dim	3
123	0.4	n/a	n/a	middle	32	5	dim	3
126.8	0.4	n/a	n/a	middle	33	5	dim	3
128	16	0	1	left	5	5	grating	3
130.3	0.4	n/a	n/a	middle	34	5	dim	3
134	0.4	n/a	n/a	middle	35	5	dim	3
138.6	0.4	n/a	n/a	middle	36	5	dim	3
143.8	0.4	n/a	n/a	middle	37	5	dim	3
144	16	0	1	right	5	5	grating	3
148.6	0.4	n/a	n/a	middle	38	5	dim	3
153.5	0.4	n/a	n/a	middle	39	5	dim	3
156.4	0.4	n/a	n/a	middle	40	5	dim	3
159.9	0.4	n/a	n/a	middle	41	5	dim	3
160	16	0	1	left	6	5	grating	3
165.3	0.4	n/a	n/a	middle	42	5	dim	3
169	0.4	n/a	n/a	middle	43	5	dim	3
172.9	0.4	n/a	n/a	middle	44	5	dim	3
176	16	0	1	right	6	5	grating	3
178	0.4	n/a	n/a	middle	45	5	dim	3
181.3	0.4	n/a	n/a	middle	46	5	dim	3
184.1	0.4	n/a	n/a	middle	47	5	dim	3
186.9	0.4	n/a	n/a	middle	48	5	dim	3
189.6	0.4	n/a	n/a	middle	49	5	dim	3
192	16	0	1	left	7	5	grating	3
192.9	0.4	n/a	n/a	middle	50	5	dim	3
196.9	0.4	n/a	n/a	middle	51	5	dim	3
199.9	0.4	n/a	n/a	middle	52	5	dim	3
204.1	0.4	n/a	n/a	middle	53	5	dim	3
207.5	0.4	n/a	n/a	middle	54	5	dim	3
208	16	0	1	right	7	5	grating	3
211.4	0.4	n/a	n/a	middle	55	5	dim	3
216	0.4	n/a	n/a	middle	56	5	dim	3
219.6	0.4	n/a	n/a	middle	57	5	dim	3
224	16	0	1	left	8	5	grating	3
224.9	0.4	n/a	n/a	middle	58	5	dim	3
228.9	0.4	n/a	n/a	middle	59	5	dim	3
234	0.4	n/a	n/a	middle	60	5	dim	3
238.4	0.4	n/a	n/a	middle	61	5	dim	3
240	16	0	1	right	8	5	grating	3
243	0.4	n/a	n/a	middle	62	5	dim	3
245.5	0.4	n/a	n/a	middle	63	5	dim	3
249.9	0.4	n/a	n/a	middle	64	5	dim	3
252.3	0.4	n/a	n/a	middle	65	5	dim	3
256	16	0	1	left	9	5	grating	3
257.3	0.4	n/a	n/a	middle	66	5	dim	3
272	16	0	1	right	9	5	grating	3
288	16	0	1	left	10	5	grating	3
304	16	0	1	right	10	5	grating	3
