onset	duration	orientation	contrast	side	trial	subject
0	5.4375	60	0.2	right	1	4
8.47980642795901	5.4375	45	0.8	right	2	4
16.9688966248613	5.4375	30	0.2	right	3	4
25.617840174758	5.4375	0	0.2	right	4	4
34.2167555504196	5.4375	105	0.2	right	5	4
42.3964643601455	5.4375	135	0.2	right	6	4
50.9096146924038	5.4375	120	0.8	right	7	4
59.6741718082233	5.4375	0	0.2	right	8	4
68.5004889635574	5.4375	135	0.8	right	9	4
76.6097691503094	5.4375	0	0.2	right	10	4
84.6839940449243	5.4375	90	0.8	right	11	4
92.9670845904912	5.4375	15	0.8	right	12	4
101.617978002593	5.4375	0	0.2	right	13	4
110.530317095556	5.4375	30	0.2	right	14	4
119.468248480425	5.4375	120	0.8	right	15	4
127.468434662591	5.4375	135	0.8	right	16	4
135.813370378271	5.4375	135	0.8	right	17	4
144.541223288903	5.4375	0	0.2	right	18	4
153.495561637467	5.4375	30	0.2	right	19	4
161.655838533945	5.4375	30	0.8	right	20	4
169.998368281333	5.4375	75	0.2	right	21	4
178.700913417511	5.4375	120	0.8	right	22	4
187.218118569948	5.4375	150	0.2	right	23	4
195.440437862852	5.4375	150	0.8	right	24	4
204.221885203807	5.4375	165	0.2	right	25	4
212.688599940031	5.4375	90	0.2	right	26	4
221.555755875639	5.4375	45	0.2	right	27	4
229.589692642471	5.4375	135	0.8	right	28	4
237.527531521806	5.4375	15	0.2	right	29	4
246.633600561126	5.4375	30	0.2	right	30	4
255.374454883844	5.4375	60	0.8	right	31	4
263.763140113408	5.4375	45	0.2	right	32	4
272.061664657669	5.4375	75	0.2	right	33	4
280.26830836679	5.4375	120	0.8	right	34	4
289.046397374236	5.4375	30	0.2	right	35	4
297.635211561141	5.4375	120	0.8	right	36	4
305.852751820789	5.4375	75	0.8	right	37	4
314.53115137908	5.4375	120	0.2	right	38	4
323.042020864906	5.4375	45	0.2	right	39	4
331.843931309261	5.4375	15	0.8	right	40	4
340.107780530244	5.4375	105	0.8	right	41	4
348.66330703764	5.4375	15	0.8	right	42	4
356.963437097637	5.4375	0	0.2	right	43	4
365.372466971175	5.4375	75	0.2	right	44	4
374.281687131924	5.4375	30	0.2	right	45	4
382.250675330909	5.4375	165	0.8	right	46	4
391.058636641733	5.4375	0	0.2	right	47	4
399.5625	5.4375	105	0.2	right	48	4
