onset	duration	orientation	contrast	side	trial	subject
0	5.4375	75	0.8	left	1	4
8.50132449110102	5.4375	15	0.8	left	2	4
17.0026496642032	5.4375	0	0.2	left	3	4
25.5039723540862	5.4375	135	0.8	left	4	4
34.0052986859855	5.4375	75	0.8	left	5	4
42.5066230772724	5.4375	120	0.2	left	6	4
51.0079475652622	5.4375	120	0.2	left	7	4
59.5092736509515	5.4375	15	0.8	left	8	4
68.0105895324362	5.4375	75	0.8	left	9	4
76.5119168948368	5.4375	105	0.2	left	10	4
85.013489693564	5.4375	135	0.8	left	11	4
93.5145911500967	5.4375	150	0.8	left	12	4
102.015896172137	5.4375	45	0.8	left	13	4
110.517219260814	5.4375	60	0.2	left	14	4
119.018786903468	5.4375	60	0.2	left	15	4
127.519869490065	5.4375	45	0.2	left	16	4
136.021438534339	5.4375	45	0.2	left	17	4
144.52276324258	5.4375	150	0.2	left	18	4
153.023843350205	5.4375	45	0.2	left	19	4
161.525133366798	5.4375	45	0.2	left	20	4
170.026734957661	5.4375	135	0.2	left	21	4
178.528053950645	5.4375	90	0.2	left	22	4
187.029141411331	5.4375	105	0.8	left	23	4
195.53073102359	5.4375	165	0.8	left	24	4
204.031791191308	5.4375	30	0.2	left	25	4
212.53335865564	5.4375	15	0.2	left	26	4
221.034680194016	5.4375	165	0.2	left	27	4
229.535763121864	5.4375	15	0.2	left	28	4
238.037091659344	5.4375	0	0.2	left	29	4
246.538655988803	5.4375	15	0.8	left	30	4
255.039983595484	5.4375	120	0.8	left	31	4
263.54106268127	5.4375	120	0.2	left	32	4
272.042631098955	5.4375	60	0.8	left	33	4
280.543955016884	5.4375	75	0.8	left	34	4
289.045037722187	5.4375	150	0.2	left	35	4
297.54636261607	5.4375	0	0.2	left	36	4
306.047929203253	5.4375	0	0.2	left	37	4
314.549239066294	5.4375	30	0.8	left	38	4
323.050578251212	5.4375	30	0.8	left	39	4
331.551662941806	5.4375	60	0.8	left	40	4
340.05319364538	5.4375	150	0.2	left	41	4
348.554309930217	5.4375	150	0.8	left	42	4
357.055876971299	5.4375	165	0.2	left	43	4
365.5572016667	5.4375	0	0.2	left	44	4
374.058286087717	5.4375	90	0.8	left	45	4
382.559558613867	5.4375	75	0.2	left	46	4
391.061175134727	5.4375	45	0.8	left	47	4
399.5625	5.4375	135	0.2	left	48	4
