onset	duration	orientation	contrast	side	trial	subject
0	5.4375	0	0.2	left	1	5
0	5.4375	120	0.8	right	1	5
3.95018638974224	0.4	n/a	n/a	middle	1	5
7.53482649081312	0.4	n/a	n/a	middle	2	5
8.51348117464255	5.4375	0	0.2	left	2	5
8.52559738662742	5.4375	165	0.8	right	2	5
11.5633370667067	0.4	n/a	n/a	middle	3	5
15.1835705292735	0.4	n/a	n/a	middle	4	5
16.9920567469785	5.4375	60	0.8	right	3	5
17.0029826049424	5.4375	165	0.8	left	3	5
18.5939930207755	0.4	n/a	n/a	middle	5	5
22.495471402051	0.4	n/a	n/a	middle	6	5
25.5202240130045	5.4375	75	0.8	right	4	5
25.9376015439405	5.4375	45	0.2	left	4	5
26.2894851930028	0.4	n/a	n/a	middle	7	5
30.5380052892321	0.4	n/a	n/a	middle	8	5
33.9122232291858	5.4375	45	0.2	right	5	5
34.0160947180236	5.4375	60	0.8	left	5	5
34.7737436070078	0.4	n/a	n/a	middle	9	5
38.239812782936	0.4	n/a	n/a	middle	10	5
42.3674418826098	0.4	n/a	n/a	middle	11	5
42.4333408340389	5.4375	90	0.8	left	6	5
43.0332102768098	5.4375	105	0.8	right	6	5
46.5508359262215	0.4	n/a	n/a	middle	12	5
50.3186154389411	0.4	n/a	n/a	middle	13	5
50.9157216591355	5.4375	135	0.2	left	7	5
50.997504818501	5.4375	45	0.2	right	7	5
54.6971907479229	0.4	n/a	n/a	middle	14	5
58.180815323704	0.4	n/a	n/a	middle	15	5
59.3644678217424	5.4375	120	0.8	left	8	5
59.5029294208678	5.4375	15	0.8	right	8	5
62.4558027646649	0.4	n/a	n/a	middle	16	5
65.9683954155094	0.4	n/a	n/a	middle	17	5
68.0172331296264	5.4375	75	0.8	right	9	5
68.2256407548568	5.4375	60	0.8	left	9	5
69.5735578361132	0.4	n/a	n/a	middle	18	5
73.0257089486736	0.4	n/a	n/a	middle	19	5
76.4977585924711	5.4375	60	0.8	left	10	5
76.5032807572806	5.4375	135	0.2	right	10	5
76.9944973488279	0.4	n/a	n/a	middle	20	5
80.7234082413185	0.4	n/a	n/a	middle	21	5
84.3427436034091	0.4	n/a	n/a	middle	22	5
85.1984302084469	5.4375	45	0.8	right	11	5
85.3529868785303	5.4375	60	0.8	left	11	5
88.4309496329761	0.4	n/a	n/a	middle	23	5
92.0695578841252	0.4	n/a	n/a	middle	24	5
93.4325039343545	5.4375	60	0.2	left	12	5
93.4894557534277	5.4375	150	0.8	right	12	5
96.3773554734854	0.4	n/a	n/a	middle	25	5
100.197722039827	0.4	n/a	n/a	middle	26	5
101.823864526177	5.4375	90	0.8	left	13	5
102.116873652135	5.4375	150	0.8	right	13	5
104.058531867047	0.4	n/a	n/a	middle	27	5
108.238788917112	0.4	n/a	n/a	middle	28	5
110.392321452215	5.4375	135	0.2	right	14	5
110.504929212656	5.4375	60	0.2	left	14	5
111.868537277012	0.4	n/a	n/a	middle	29	5
115.564364602042	0.4	n/a	n/a	middle	30	5
119.015963458017	5.4375	0	0.2	left	15	5
119.057127582651	5.4375	150	0.8	right	15	5
119.659004501504	0.4	n/a	n/a	middle	31	5
123.792565769122	0.4	n/a	n/a	middle	32	5
127.483849392793	5.4375	90	0.8	left	16	5
127.54116282	5.4375	135	0.2	right	16	5
127.696487472052	0.4	n/a	n/a	middle	33	5
131.248129037243	0.4	n/a	n/a	middle	34	5
135.306354947522	0.4	n/a	n/a	middle	35	5
135.748883722801	5.4375	45	0.8	right	17	5
136.045890813112	5.4375	150	0.2	left	17	5
139.529505992592	0.4	n/a	n/a	middle	36	5
143.464697609626	0.4	n/a	n/a	middle	37	5
144.396619287279	5.4375	120	0.2	right	18	5
144.638304126802	5.4375	90	0.2	left	18	5
147.016736868557	0.4	n/a	n/a	middle	38	5
151.033655969098	0.4	n/a	n/a	middle	39	5
152.942340831566	5.4375	135	0.2	right	19	5
153.037555265479	5.4375	150	0.2	left	19	5
155.03453420206	0.4	n/a	n/a	middle	40	5
159.097048314429	0.4	n/a	n/a	middle	41	5
