side	run	subject	filename	onset_expected	duration_expected	orientation	contrast	trial	trial_type	iti_expected	n_flip_in_trial	exitflag	response	correct
middle	4	5	ga_dump/sub-05_task-contrast_run-04_ga_events.tsv	3.8	0.4	n/a	n/a	1	dim	7.199999999999999	76	NA	NO RESPONSE	NA
middle	4	5	ga_dump/sub-05_task-contrast_run-04_ga_events.tsv	7.6	0.4	n/a	n/a	2	dim	2.3000000000000007	27.000000000000007	NA	NO RESPONSE	NA
middle	4	5	ga_dump/sub-05_task-contrast_run-04_ga_events.tsv	10.3	0.4	n/a	n/a	3	dim	3.5999999999999996	39.99999999999999	NA	NO RESPONSE	NA
middle	4	5	ga_dump/sub-05_task-contrast_run-04_ga_events.tsv	14.3	0.4	n/a	n/a	4	dim	4.699999999999999	51	NA	NO RESPONSE	NA
middle	4	5	ga_dump/sub-05_task-contrast_run-04_ga_events.tsv	19.4	0.4	n/a	n/a	5	dim	5.0000000000000036	54.00000000000004	NA	NO RESPONSE	NA
middle	4	5	ga_dump/sub-05_task-contrast_run-04_ga_events.tsv	24.8	0.4	n/a	n/a	6	dim	3.3000000000000007	37.00000000000001	NA	NO RESPONSE	NA
middle	4	5	ga_dump/sub-05_task-contrast_run-04_ga_events.tsv	28.5	0.4	n/a	n/a	7	dim	4.300000000000004	47.00000000000004	NA	NO RESPONSE	NA
middle	4	5	ga_dump/sub-05_task-contrast_run-04_ga_events.tsv	33.2	0.4	n/a	n/a	8	dim	2.1999999999999957	25.999999999999957	NA	NO RESPONSE	NA
middle	4	5	ga_dump/sub-05_task-contrast_run-04_ga_events.tsv	35.8	0.4	n/a	n/a	9	dim	4.200000000000003	46.00000000000003	NA	NO RESPONSE	NA
middle	4	5	ga_dump/sub-05_task-contrast_run-04_ga_events.tsv	40.4	0.4	n/a	n/a	10	dim	3.6000000000000014	40.000000000000014	NA	NO RESPONSE	NA
middle	4	5	ga_dump/sub-05_task-contrast_run-04_ga_events.tsv	44.4	0.4	n/a	n/a	11	dim	3.4000000000000057	38.00000000000006	NA	NO RESPONSE	NA
middle	4	5	ga_dump/sub-05_task-contrast_run-04_ga_events.tsv	48.2	0.4	n/a	n/a	12	dim	3.6000000000000014	40.000000000000014	NA	NO RESPONSE	NA
middle	4	5	ga_dump/sub-05_task-contrast_run-04_ga_events.tsv	52.2	0.4	n/a	n/a	13	dim	4.600000000000001	50.000000000000014	NA	NO RESPONSE	NA
middle	4	5	ga_dump/sub-05_task-contrast_run-04_ga_events.tsv	57.2	0.4	n/a	n/a	14	dim	3.5	39	NA	NO RESPONSE	NA
middle	4	5	ga_dump/sub-05_task-contrast_run-04_ga_events.tsv	61.1	0.4	n/a	n/a	15	dim	2.299999999999997	26.99999999999997	NA	NO RESPONSE	NA
middle	4	5	ga_dump/sub-05_task-contrast_run-04_ga_events.tsv	63.8	0.4	n/a	n/a	16	dim	4.599999999999994	49.99999999999994	NA	NO RESPONSE	NA
middle	4	5	ga_dump/sub-05_task-contrast_run-04_ga_events.tsv	68.8	0.4	n/a	n/a	17	dim	3.799999999999997	41.99999999999997	NA	NO RESPONSE	NA
middle	4	5	ga_dump/sub-05_task-contrast_run-04_ga_events.tsv	73	0.4	n/a	n/a	18	dim	3.5999999999999943	39.99999999999994	NA	NO RESPONSE	NA
middle	4	5	ga_dump/sub-05_task-contrast_run-04_ga_events.tsv	77	0.4	n/a	n/a	19	dim	3	34	NA	NO RESPONSE	NA
