side	run	subject	filename	onset_expected	duration_expected	orientation	contrast	trial	trial_type	iti_expected	n_flip_in_trial	trial_start	trial_end	exitflag	response	rt	correct	onset	duration
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	0	5	75	0.8	1	grating	2.7	77	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	7.7	5	75	0.8	2	grating	2.7	77	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	15.4	5	60	0.2	3	grating	2.4999999999999982	74.99999999999999	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	22.9	5	0	0.2	4	grating	3.6000000000000014	86.00000000000001	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	31.5	5	45	0.2	5	grating	2.5	75	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	39	5	60	0.8	6	grating	2.5	75	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	46.5	5	15	0.2	7	grating	3.5	85	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	55	5	30	0.8	8	grating	3.5	85	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	63.5	5	0	0.2	9	grating	3.5999999999999943	85.99999999999994	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	72.1	5	90	0.8	10	grating	3.700000000000003	87.00000000000003	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	80.8	5	120	0.8	11	grating	2.5	75	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	88.3	5	120	0.2	12	grating	2.700000000000003	77.00000000000003	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	96	5	30	0.2	13	grating	3.4000000000000057	84.00000000000006	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	104.4	5	90	0.8	14	grating	3.6999999999999886	86.99999999999989	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	113.1	5	105	0.8	15	grating	3.200000000000003	82.00000000000003	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	121.3	5	150	0.2	16	grating	3.200000000000003	82.00000000000003	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
left	9	5	ga_dump/sub-05_task-contrast_run-09_ga_events.tsv	129.5	5	135	0.8	17	grating	3.6999999999999886	86.99999999999989	NaN	NaN	NA	NO RESPONSE	NaN	NA	NaN	NaN
