side	run	subject	filename	onset_expected	duration_expected	orientation	contrast	trial	trial_type	iti_expected	n_flip_in_trial	exitflag	response	correct
left	1	5	ga_dump/sub-05_task-localizer_run-01_ga_events.tsv	0	16	0	1	1	grating	16	320	NA	NO RESPONSE	NA
left	1	5	ga_dump/sub-05_task-localizer_run-01_ga_events.tsv	32	16	0	1	2	grating	16	320	NA	NO RESPONSE	NA
left	1	5	ga_dump/sub-05_task-localizer_run-01_ga_events.tsv	64	16	0	1	3	grating	16	320	NA	NO RESPONSE	NA
left	1	5	ga_dump/sub-05_task-localizer_run-01_ga_events.tsv	96	16	0	1	4	grating	16	320	NA	NO RESPONSE	NA
left	1	5	ga_dump/sub-05_task-localizer_run-01_ga_events.tsv	128	16	0	1	5	grating	16	320	NA	NO RESPONSE	NA
left	1	5	ga_dump/sub-05_task-localizer_run-01_ga_events.tsv	160	16	0	1	6	grating	16	320	NA	NO RESPONSE	NA
left	1	5	ga_dump/sub-05_task-localizer_run-01_ga_events.tsv	192	16	0	1	7	grating	16	320	NA	NO RESPONSE	NA
left	1	5	ga_dump/sub-05_task-localizer_run-01_ga_events.tsv	224	16	0	1	8	grating	16	320	NA	NO RESPONSE	NA
left	1	5	ga_dump/sub-05_task-localizer_run-01_ga_events.tsv	256	16	0	1	9	grating	16	320	NA	NO RESPONSE	NA
left	1	5	ga_dump/sub-05_task-localizer_run-01_ga_events.tsv	288	16	0	1	10	grating	32	480	NA	NO RESPONSE	NA
right	1	5	ga_dump/sub-05_task-localizer_run-01_ga_events.tsv	16	16	0	1	1	grating	16	480	NA	NO RESPONSE	NA
right	1	5	ga_dump/sub-05_task-localizer_run-01_ga_events.tsv	48	16	0	1	2	grating	16	320	NA	NO RESPONSE	NA
right	1	5	ga_dump/sub-05_task-localizer_run-01_ga_events.tsv	80	16	0	1	3	grating	16	320	NA	NO RESPONSE	NA
right	1	5	ga_dump/sub-05_task-localizer_run-01_ga_events.tsv	112	16	0	1	4	grating	16	320	NA	NO RESPONSE	NA
right	1	5	ga_dump/sub-05_task-localizer_run-01_ga_events.tsv	144	16	0	1	5	grating	16	320	NA	NO RESPONSE	NA
right	1	5	ga_dump/sub-05_task-localizer_run-01_ga_events.tsv	176	16	0	1	6	grating	16	320	NA	NO RESPONSE	NA
right	1	5	ga_dump/sub-05_task-localizer_run-01_ga_events.tsv	208	16	0	1	7	grating	16	320	NA	NO RESPONSE	NA
right	1	5	ga_dump/sub-05_task-localizer_run-01_ga_events.tsv	240	16	0	1	8	grating	16	320	NA	NO RESPONSE	NA
right	1	5	ga_dump/sub-05_task-localizer_run-01_ga_events.tsv	272	16	0	1	9	grating	16	320	NA	NO RESPONSE	NA
right	1	5	ga_dump/sub-05_task-localizer_run-01_ga_events.tsv	304	16	0	1	10	grating	16	320	NA	NO RESPONSE	NA
