side	run	subject	filename	onset_expected	duration_expected	orientation	contrast	trial	trial_type	iti_expected	n_flip_in_trial	exitflag	response	correct
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	4.9	0.4	n/a	n/a	1	dim	4.799999999999999	101	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	10.1	0.4	n/a	n/a	2	dim	3.8000000000000007	42.000000000000014	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	14.3	0.4	n/a	n/a	3	dim	4.800000000000001	52.000000000000014	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	19.5	0.4	n/a	n/a	4	dim	2.3000000000000007	27.000000000000007	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	22.2	0.4	n/a	n/a	5	dim	3.0000000000000036	34.000000000000036	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	25.6	0.4	n/a	n/a	6	dim	2.1000000000000014	25.000000000000014	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	28.1	0.4	n/a	n/a	7	dim	3.6000000000000014	40.000000000000014	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	32.1	0.4	n/a	n/a	8	dim	4.200000000000003	46.00000000000003	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	36.7	0.4	n/a	n/a	9	dim	2.5	29	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	39.6	0.4	n/a	n/a	10	dim	3.299999999999997	36.99999999999997	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	43.3	0.4	n/a	n/a	11	dim	2.3000000000000043	27.000000000000043	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	46	0.4	n/a	n/a	12	dim	2.8999999999999986	32.999999999999986	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	49.3	0.4	n/a	n/a	13	dim	4.400000000000006	48.00000000000006	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	54.1	0.4	n/a	n/a	14	dim	3.6000000000000014	40.000000000000014	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	58.1	0.4	n/a	n/a	15	dim	4.299999999999997	46.99999999999997	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	62.8	0.4	n/a	n/a	16	dim	3.8999999999999915	42.999999999999915	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	67.1	0.4	n/a	n/a	17	dim	4.700000000000003	51.00000000000003	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	72.2	0.4	n/a	n/a	18	dim	2.0999999999999943	24.999999999999943	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	74.7	0.4	n/a	n/a	19	dim	2.499999999999986	28.999999999999858	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	77.6	0.4	n/a	n/a	20	dim	3.200000000000003	36.00000000000003	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	81.2	0.4	n/a	n/a	21	dim	4.199999999999989	45.999999999999886	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	85.8	0.4	n/a	n/a	22	dim	4.700000000000003	51.00000000000003	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	90.9	0.4	n/a	n/a	23	dim	1.9999999999999858	23.999999999999858	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	93.3	0.4	n/a	n/a	24	dim	2.3999999999999915	27.999999999999915	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	96.1	0.4	n/a	n/a	25	dim	3.299999999999997	36.99999999999997	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	99.8	0.4	n/a	n/a	26	dim	4.299999999999997	46.99999999999997	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	104.5	0.4	n/a	n/a	27	dim	3.5999999999999943	39.99999999999994	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	108.5	0.4	n/a	n/a	28	dim	4.299999999999997	46.99999999999997	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	113.2	0.4	n/a	n/a	29	dim	2.499999999999986	28.999999999999858	NA	NO RESPONSE	NA
middle	3	6	ga_dump/sub-06_task-localizer_run-03_ga_events.tsv	116.1	0.4	n/a	n/a	30	dim	4	44	NA	NO RESPONSE	NA
