onset	duration	orientation	contrast	side	trial	subject
0	5.4375	30	0.2	right	1	4
8.50132232813439	5.4375	135	0.8	right	2	4
17.002663527036	5.4375	15	0.8	right	3	4
25.5039934186787	5.4375	150	0.2	right	4	4
34.0053188807847	5.4375	165	0.2	right	5	4
42.5066488834078	5.4375	120	0.8	right	6	4
51.0079803440597	5.4375	105	0.2	right	7	4
59.5093073500705	5.4375	90	0.2	right	8	4
68.0106383137325	5.4375	60	0.8	right	9	4
76.5119680495504	5.4375	45	0.8	right	10	4
85.0133360405836	5.4375	45	0.2	right	11	4
93.514737678721	5.4375	150	0.2	right	12	4
102.015959106249	5.4375	135	0.2	right	13	4
110.517316882213	5.4375	0	0.2	right	14	4
119.018616891249	5.4375	15	0.2	right	15	4
127.519954083547	5.4375	105	0.8	right	16	4
136.021254500479	5.4375	120	0.2	right	17	4
144.522626532905	5.4375	105	0.2	right	18	4
153.023799723923	5.4375	75	0.8	right	19	4
161.521767336177	5.4375	150	0.8	right	20	4
170.026949785923	5.4375	15	0.8	right	21	4
178.52671784303	5.4375	75	0.8	right	22	4
187.029254858847	5.4375	45	0.2	right	23	4
195.530428610708	5.4375	120	0.2	right	24	4
204.032318503421	5.4375	135	0.2	right	25	4
212.766009931875	5.4375	90	0.8	right	26	4
221.040228773577	5.4375	60	0.2	right	27	4
229.535015078153	5.4375	30	0.8	right	28	4
238.037239706682	5.4375	120	0.8	right	29	4
246.531025033588	5.4375	60	0.8	right	30	4
255.039893281328	5.4375	105	0.8	right	31	4
263.541216552006	5.4375	75	0.2	right	32	4
272.040780539075	5.4375	30	0.2	right	33	4
280.543883590847	5.4375	135	0.8	right	34	4
289.04521194149	5.4375	0	0.2	right	35	4
297.546522527813	5.4375	150	0.8	right	36	4
306.047872940584	5.4375	60	0.2	right	37	4
314.549211693875	5.4375	90	0.8	right	38	4
323.050562600833	5.4375	0	0.2	right	39	4
331.551861555662	5.4375	165	0.8	right	40	4
340.051269465918	5.4375	75	0.2	right	41	4
348.554502964519	5.4375	15	0.2	right	42	4
357.055850592861	5.4375	90	0.2	right	43	4
365.557175042994	5.4375	165	0.2	right	44	4
374.058510714768	5.4375	165	0.8	right	45	4
382.559840160208	5.4375	0	0.2	right	46	4
391.061170319728	5.4375	30	0.8	right	47	4
399.5625	5.4375	45	0.8	right	48	4
