onset	duration	orientation	contrast	side	trial	subject
0	5	45	0.8	left	1	5
0	5	45	0.2	right	1	5
8.5	5	150	0.2	left	2	5
8.6	5	75	0.2	right	2	5
16	5	30	0.8	left	3	5
17.3	5	150	0.2	right	3	5
20	0.4	n/a	n/a	middle	10	5
20	0.4	n/a	n/a	middle	61	5
21	0.4	n/a	n/a	middle	5	5
21	0.4	n/a	n/a	middle	14	5
21	0.4	n/a	n/a	middle	32	5
21	0.4	n/a	n/a	middle	35	5
21	0.4	n/a	n/a	middle	46	5
21	0.4	n/a	n/a	middle	77	5
22	0.4	n/a	n/a	middle	8	5
22	0.4	n/a	n/a	middle	13	5
22	0.4	n/a	n/a	middle	27	5
22	0.4	n/a	n/a	middle	47	5
23	0.4	n/a	n/a	middle	31	5
23	0.4	n/a	n/a	middle	78	5
24	0.4	n/a	n/a	middle	4	5
24	0.4	n/a	n/a	middle	26	5
24	0.4	n/a	n/a	middle	50	5
24.4	5	60	0.8	left	4	5
25	5	30	0.8	right	4	5
25	0.4	n/a	n/a	middle	34	5
25	0.4	n/a	n/a	middle	74	5
25	0.4	n/a	n/a	middle	82	5
26	0.4	n/a	n/a	middle	18	5
26	0.4	n/a	n/a	middle	28	5
27	0.4	n/a	n/a	middle	23	5
28	0.4	n/a	n/a	middle	83	5
29	0.4	n/a	n/a	middle	41	5
29	0.4	n/a	n/a	middle	67	5
30	0.4	n/a	n/a	middle	3	5
30	0.4	n/a	n/a	middle	33	5
30	0.4	n/a	n/a	middle	55	5
30	0.4	n/a	n/a	middle	81	5
31	0.4	n/a	n/a	middle	7	5
31	0.4	n/a	n/a	middle	16	5
31	0.4	n/a	n/a	middle	56	5
31	0.4	n/a	n/a	middle	63	5
32	0.4	n/a	n/a	middle	9	5
32	0.4	n/a	n/a	middle	20	5
32	0.4	n/a	n/a	middle	57	5
32	0.4	n/a	n/a	middle	65	5
32.5	5	30	0.2	left	5	5
33	0.4	n/a	n/a	middle	11	5
33.5	5	90	0.2	right	5	5
34	0.4	n/a	n/a	middle	12	5
34	0.4	n/a	n/a	middle	38	5
34	0.4	n/a	n/a	middle	58	5
35	0.4	n/a	n/a	middle	22	5
36	0.4	n/a	n/a	middle	54	5
36	0.4	n/a	n/a	middle	68	5
37	0.4	n/a	n/a	middle	2	5
37	0.4	n/a	n/a	middle	36	5
38	0.4	n/a	n/a	middle	59	5
38	0.4	n/a	n/a	middle	72	5
39	0.4	n/a	n/a	middle	79	5
40	0.4	n/a	n/a	middle	15	5
40	0.4	n/a	n/a	middle	62	5
40.4	5	105	0.2	left	6	5
41	0.4	n/a	n/a	middle	21	5
41	0.4	n/a	n/a	middle	39	5
41	0.4	n/a	n/a	middle	52	5
41	0.4	n/a	n/a	middle	75	5
41.4	5	150	0.2	right	6	5
42	0.4	n/a	n/a	middle	19	5
42	0.4	n/a	n/a	middle	25	5
42	0.4	n/a	n/a	middle	64	5
42	0.4	n/a	n/a	middle	80	5
43	0.4	n/a	n/a	middle	43	5
43	0.4	n/a	n/a	middle	60	5
44	0.4	n/a	n/a	middle	30	5
44	0.4	n/a	n/a	middle	37	5
44	0.4	n/a	n/a	middle	40	5
44	0.4	n/a	n/a	middle	48	5
45	0.4	n/a	n/a	middle	17	5
45	0.4	n/a	n/a	middle	53	5
45	0.4	n/a	n/a	middle	69	5
45	0.4	n/a	n/a	middle	71	5
46	0.4	n/a	n/a	middle	51	5
47	0.4	n/a	n/a	middle	44	5
47	0.4	n/a	n/a	middle	66	5
47	0.4	n/a	n/a	middle	76	5
48	5	135	0.2	left	7	5
48	0.4	n/a	n/a	middle	29	5
48	0.4	n/a	n/a	middle	45	5
48	0.4	n/a	n/a	middle	49	5
48	0.4	n/a	n/a	middle	70	5
49	5	120	0.2	right	7	5
49	0.4	n/a	n/a	middle	1	5
49	0.4	n/a	n/a	middle	24	5
49	0.4	n/a	n/a	middle	42	5
50	0.4	n/a	n/a	middle	6	5
50	0.4	n/a	n/a	middle	73	5
56.2	5	90	0.8	left	8	5
57	5	75	0.8	right	8	5
63.8	5	75	0.8	left	9	5
64.5	5	30	0.2	right	9	5
72.5	5	120	0.2	left	10	5
73	5	105	0.2	right	10	5
80.5	5	75	0.8	left	11	5
81.4	5	0	0.2	right	11	5
89.2	5	15	0.8	left	12	5
89.5	5	120	0.8	right	12	5
97	5	135	0.8	right	13	5
97.9	5	75	0.2	left	13	5
104.5	5	60	0.2	right	14	5
105.7	5	60	0.8	left	14	5
113.1	5	45	0.8	right	15	5
114.2	5	45	0.2	left	15	5
121.5	5	105	0.8	right	16	5
121.9	5	60	0.2	left	16	5
130.1	5	15	0.8	right	17	5
130.6	5	120	0.8	left	17	5
138	5	105	0.2	right	18	5
138.9	5	105	0.8	left	18	5
146	5	15	0.8	right	19	5
147.6	5	105	0.2	left	19	5
154.7	5	165	0.2	right	20	5
156.3	5	135	0.8	left	20	5
162.4	5	135	0.2	right	21	5
164.7	5	90	0.8	left	21	5
171	5	105	0.8	right	22	5
172.9	5	105	0.8	left	22	5
179.6	5	90	0.8	right	23	5
180.4	5	90	0.2	left	23	5
187.9	5	60	0.2	right	24	5
188.5	5	135	0.2	left	24	5
196.3	5	165	0.8	right	25	5
196.6	5	45	0.8	left	25	5
204.3	5	15	0.2	right	26	5
205	5	15	0.8	left	26	5
212.3	5	60	0.8	right	27	5
213.4	5	15	0.2	left	27	5
220.1	5	135	0.2	right	28	5
222	5	45	0.2	left	28	5
228.5	5	45	0.8	right	29	5
230.2	5	165	0.2	left	29	5
237.1	5	165	0.2	right	30	5
238.7	5	120	0.2	left	30	5
244.9	5	135	0.8	right	31	5
246.4	5	0	0.2	left	31	5
252.7	5	30	0.8	right	32	5
255	5	0	0.2	left	32	5
261.4	5	90	0.2	right	33	5
262.6	5	90	0.2	left	33	5
269	5	60	0.8	right	34	5
271.1	5	165	0.2	left	34	5
276.8	5	120	0.2	right	35	5
279.8	5	60	0.2	left	35	5
285.5	5	150	0.8	right	36	5
287.7	5	0	0.2	left	36	5
293.7	5	75	0.2	right	37	5
296.1	5	0	0.2	left	37	5
301.3	5	0	0.2	right	38	5
303.9	5	165	0.8	left	38	5
309.6	5	75	0.8	right	39	5
311.7	5	135	0.8	left	39	5
317.7	5	150	0.8	right	40	5
319.9	5	75	0.2	left	40	5
325.4	5	0	0.2	right	41	5
327.7	5	15	0.2	left	41	5
333.2	5	120	0.8	right	42	5
336.3	5	30	0.8	left	42	5
341.1	5	165	0.8	right	43	5
345	5	150	0.8	left	43	5
349.5	5	45	0.2	right	44	5
353.3	5	150	0.8	left	44	5
357.1	5	30	0.2	right	45	5
361.4	5	165	0.8	left	45	5
365.4	5	90	0.8	right	46	5
369.9	5	30	0.2	left	46	5
373.8	5	0	0.2	right	47	5
377.7	5	120	0.8	left	47	5
382.4	5	15	0.2	right	48	5
386.3	5	150	0.2	left	48	5
