onset	duration	orientation	contrast	side	trial	subject
0	5	45	0.2	right	1	5
7.8	5	75	0.8	right	2	5
15.7	5	30	0.2	right	3	5
23.2	5	90	0.2	right	4	5
31.1	5	165	0.8	right	5	5
38.7	5	150	0.2	right	6	5
46.5	5	45	0.2	right	7	5
54.1	5	150	0.2	right	8	5
61.7	5	0	0.2	right	9	5
69.8	5	105	0.2	right	10	5
78.3	5	60	0.2	right	11	5
86.4	5	120	0.2	right	12	5
94	5	15	0.2	right	13	5
102.7	5	15	0.2	right	14	5
111.4	5	105	0.2	right	15	5
119.2	5	45	0.8	right	16	5
127.4	5	90	0.2	right	17	5
135.1	5	120	0.2	right	18	5
143.8	5	165	0.2	right	19	5
151.6	5	90	0.8	right	20	5
159.7	5	60	0.2	right	21	5
167.4	5	135	0.8	right	22	5
175.2	5	0	0.2	right	23	5
183.7	5	30	0.8	right	24	5
192	5	60	0.8	right	25	5
199.9	5	0	0.2	right	26	5
207.6	5	0	0.2	right	27	5
216	5	135	0.8	right	28	5
223.9	5	90	0.8	right	29	5
232.3	5	120	0.8	right	30	5
240.6	5	135	0.2	right	31	5
248.7	5	135	0.2	right	32	5
257.1	5	45	0.8	right	33	5
265.2	5	105	0.8	right	34	5
273.3	5	60	0.8	right	35	5
280.8	5	30	0.2	right	36	5
289.3	5	15	0.8	right	37	5
297	5	150	0.8	right	38	5
305	5	75	0.8	right	39	5
313.3	5	75	0.2	right	40	5
322	5	150	0.8	right	41	5
329.7	5	75	0.2	right	42	5
337.7	5	120	0.8	right	43	5
345.7	5	15	0.8	right	44	5
353.9	5	105	0.8	right	45	5
362.3	5	30	0.8	right	46	5
370.1	5	165	0.8	right	47	5
378.7	5	165	0.2	right	48	5
