onset	duration	orientation	contrast	side	trial	subject
0	16	0	0.2	left	1	5
16	16	90	0.8	left	2	5
32	16	0	0.2	left	3	5
48	16	90	0.8	left	4	5
64	16	0	0.2	left	5	5
80	16	90	0.8	left	6	5
96	16	0	0.2	left	7	5
112	16	90	0.8	left	8	5
128	16	0	0.2	left	9	5
144	16	90	0.8	left	10	5
160	16	0	0.2	left	11	5
176	16	90	0.8	left	12	5
192	16	0	0.2	left	13	5
208	16	90	0.8	left	14	5
224	16	0	0.2	left	15	5
240	16	90	0.8	left	16	5
256	16	0	0.2	left	17	5
272	16	90	0.8	left	18	5
288	16	0	0.2	left	19	5
304	16	90	0.8	left	20	5
